#HEADER
Time (s),0
#DATA
Ryz (m),X (m),Defect Charge Density (C \cdot cm^{-3})
4e-9,-7.75e-8,-1.5692890535089856
4e-9,-7.527777777777778e-8,-1.563330764611818
4e-9,-7.305555555555556e-8,-1.5446384655771692
4e-9,-7.083333333333333e-8,-1.5115931557634696
4e-9,-6.86111111111111e-8,-1.4637399830529796
4e-9,-6.638888888888889e-8,-1.4027459357720506
4e-9,-6.416666666666667e-8,-1.3303203595109876
4e-9,-6.194444444444445e-8,-1.246658447123914
4e-9,-5.972222222222223e-8,-1.155298261600612
4e-9,-5.75e-8,-1.065171592820464
4e-9,-5.472222222222222e-8,-0.9868297755385594
4e-9,-5.194444444444444e-8,-0.934853210184043
4e-9,-4.9166666666666664e-8,-0.9242637278297887
4e-9,-4.6388888888888885e-8,-0.9624119725643379
4e-9,-4.361111111111111e-8,-1.0632718604082911
4e-9,-4.0833333333333335e-8,-1.2640400671795895
4e-9,-3.805555555555555e-8,-1.5944028590801478
4e-9,-3.527777777777778e-8,-2.004063862661287
4e-9,-3.249999999999999e-8,-2.2971930480342584
4e-9,-3.1999999999999995e-8,-2.38960196712972
4e-9,-3.149999999999999e-8,-2.4011467789143452
4e-9,-3.099999999999999e-8,-2.402838530858121
4e-9,-3.0499999999999995e-8,-2.403177187987686
4e-9,-2.999999999999999e-8,-2.4032469165703287
4e-9,-2.9499999999999993e-8,-2.4032616016160597
4e-9,-2.8999999999999995e-8,-2.4032644287821894
4e-9,-2.849999999999999e-8,-2.4032648850712004
4e-9,-2.7999999999999993e-8,-2.4032649437519416
4e-9,-2.7499999999999995e-8,-2.403264950220043
4e-9,-2.699999999999999e-8,-2.4032649509150685
4e-9,-2.6499999999999992e-8,-2.403264950990799
4e-9,-2.5999999999999995e-8,-2.403264950998919
4e-9,-2.549999999999999e-8,-2.403264950999875
4e-9,-2.4999999999999992e-8,-2.403264951000078
4e-9,-2.4499999999999994e-8,-2.4032649510000113
4e-9,-2.399999999999999e-8,-2.403264950999893
4e-9,-2.3499999999999992e-8,-2.4032649509998576
4e-9,-2.2999999999999994e-8,-2.403264950999896
4e-9,-2.2499999999999996e-8,-2.4032649509998913
4e-9,-2.1999999999999992e-8,-2.4032649509998114
4e-9,-2.1499999999999994e-8,-2.403264950999935
4e-9,-2.0999999999999996e-8,-2.4032649510001307
4e-9,-2.0499999999999992e-8,-2.403264951000012
4e-9,-1.9999999999999994e-8,-2.4032649509999757
4e-9,-1.9499999999999996e-8,-2.4032649510000494
4e-9,-1.899999999999999e-8,-2.4032649510000104
4e-9,-1.8499999999999994e-8,-2.4032649509999366
4e-9,-1.7999999999999996e-8,-2.4032649510000494
4e-9,-1.749999999999999e-8,-2.4032649510001294
4e-9,-1.6999999999999993e-8,-2.4032649510000157
4e-9,-1.6499999999999996e-8,-2.4032649510000037
4e-9,-1.5999999999999984e-8,-2.4032649510000557
4e-9,-1.55e-8,-2.4032649510000557
4e-9,-1.499999999999999e-8,-2.4032649509998847
4e-9,-1.4499999999999991e-8,-2.403264950999935
4e-9,-1.3999999999999993e-8,-2.4032649509999575
4e-9,-1.3499999999999995e-8,-2.403264950999937
4e-9,-1.2999999999999997e-8,-2.403264951000102
4e-9,-1.2499999999999986e-8,-2.4032649510001223
4e-9,-1.1999999999999988e-8,-2.403264951000076
4e-9,-1.149999999999999e-8,-2.4032649510000033
4e-9,-1.099999999999998e-8,-2.4032649509999437
4e-9,-1.0499999999999982e-8,-2.403264950999997
4e-9,-9.999999999999984e-9,-2.4032649509999375
4e-9,-9.499999999999986e-9,-2.403264950999917
4e-9,-8.999999999999988e-9,-2.403264950999996
4e-9,-8.49999999999999e-9,-2.403264950999996
4e-9,-7.999999999999992e-9,-2.403264951000005
4e-9,-7.499999999999981e-9,-2.403264951000005
4e-9,-6.999999999999983e-9,-2.4032649510000548
4e-9,-6.499999999999985e-9,-2.4032649510000637
4e-9,-5.9999999999999876e-9,-2.403264951000004
4e-9,-5.49999999999999e-9,-2.4032649509999846
4e-9,-4.999999999999979e-9,-2.4032649510000246
4e-9,-4.499999999999981e-9,-2.403264951000045
4e-9,-3.999999999999983e-9,-2.4032649510000157
4e-9,-3.499999999999985e-9,-2.403264951000001
4e-9,-2.999999999999987e-9,-2.4032649510000006
4e-9,-2.4999999999999893e-9,-2.40326495099999
4e-9,-1.9999999999999914e-9,-2.4032649509999993
4e-9,-1.4999999999999803e-9,-2.4032649510000024
4e-9,-9.999999999999825e-10,-2.4032649509999966
4e-9,-4.999999999999846e-10,-2.4032649509999997
4e-9,1.3234889800848443e-23,-2.403264950999999
4e-9,5.000000000000111e-10,-2.4032649509999975
4e-9,1.000000000000009e-9,-2.4032649509999966
4e-9,1.50000000000002e-9,-2.4032649510000077
4e-9,2.000000000000018e-9,-2.403264950999991
4e-9,2.5000000000000158e-9,-2.4032649510000006
4e-9,3.0000000000000136e-9,-2.4032649510000157
4e-9,3.5000000000000115e-9,-2.4032649509999953
4e-9,4.000000000000009e-9,-2.4032649509999846
4e-9,4.5000000000000204e-9,-2.4032649509999544
4e-9,5.000000000000018e-9,-2.4032649509999544
4e-9,5.500000000000016e-9,-2.4032649509999553
4e-9,6.000000000000014e-9,-2.403264950999966
4e-9,6.500000000000012e-9,-2.403264950999985
4e-9,7.000000000000023e-9,-2.4032649509999864
4e-9,7.500000000000008e-9,-2.4032649510000557
4e-9,8.000000000000019e-9,-2.403264951000064
4e-9,8.500000000000017e-9,-2.4032649509999757
4e-9,9.000000000000014e-9,-2.4032649509999944
4e-9,9.500000000000012e-9,-2.403264950999935
4e-9,1.000000000000001e-8,-2.4032649509999464
4e-9,1.0500000000000021e-8,-2.403264951000026
4e-9,1.1000000000000019e-8,-2.403264950999996
4e-9,1.1500000000000017e-8,-2.4032649510000352
4e-9,1.2000000000000015e-8,-2.4032649510000557
4e-9,1.2500000000000013e-8,-2.4032649510000548
4e-9,1.300000000000001e-8,-2.4032649510000343
4e-9,1.3500000000000008e-8,-2.4032649510000037
4e-9,1.400000000000002e-8,-2.4032649510000055
4e-9,1.4500000000000017e-8,-2.4032649509999375
4e-9,1.5000000000000015e-8,-2.4032649509999358
4e-9,1.5500000000000013e-8,-2.403264951000015
4e-9,1.600000000000001e-8,-2.4032649509999366
4e-9,1.650000000000001e-8,-2.4032649509998576
4e-9,1.7000000000000007e-8,-2.4032649509999255
4e-9,1.7500000000000018e-8,-2.4032649510000037
4e-9,1.8000000000000016e-8,-2.403264950999897
4e-9,1.8500000000000013e-8,-2.403264950999819
4e-9,1.900000000000001e-8,-2.4032649509999358
4e-9,1.950000000000001e-8,-2.4032649510001223
4e-9,2.000000000000002e-8,-2.403264951000124
4e-9,2.0500000000000018e-8,-2.4032649510000557
4e-9,2.1000000000000016e-8,-2.4032649510001747
4e-9,2.1500000000000014e-8,-2.403264951000138
4e-9,2.2000000000000012e-8,-2.403264951000058
4e-9,2.250000000000001e-8,-2.4032649509999757
4e-9,2.3000000000000007e-8,-2.403264950999928
4e-9,2.350000000000002e-8,-2.4032649509999695
4e-9,2.4000000000000016e-8,-2.4032649510000192
4e-9,2.4500000000000014e-8,-2.40326495099994
4e-9,2.5000000000000012e-8,-2.403264950999896
4e-9,2.550000000000001e-8,-2.4032649510000406
4e-9,2.600000000000002e-8,-2.4032649510000264
4e-9,2.650000000000002e-8,-2.4032649509994286
4e-9,2.7000000000000017e-8,-2.4032649509944335
4e-9,2.7500000000000015e-8,-2.4032649509463844
4e-9,2.8000000000000012e-8,-2.403264950457312
4e-9,2.850000000000001e-8,-2.403264945060288
4e-9,2.9000000000000008e-8,-2.403264884016579
4e-9,2.950000000000002e-8,-2.403264299934648
4e-9,3.000000000000002e-8,-2.4032598997122845
4e-9,3.0500000000000015e-8,-2.4032315116898246
4e-9,3.100000000000001e-8,-2.403075890453799
4e-9,3.150000000000001e-8,-2.4024206793698624
4e-9,3.200000000000002e-8,-2.3983250783904073
4e-9,3.2500000000000006e-8,-2.336277295721147
4e-9,3.527777777777778e-8,-2.067231818373826
4e-9,3.805555555555556e-8,-1.6498622092038837
4e-9,4.0833333333333335e-8,-1.3099786198655863
4e-9,4.361111111111112e-8,-1.0988180267266576
4e-9,4.638888888888889e-8,-0.9796697364577299
4e-9,4.9166666666666664e-8,-0.9268168274711642
4e-9,5.194444444444446e-8,-0.9309553142085358
4e-9,5.4722222222222234e-8,-0.9816823749785649
4e-9,5.7500000000000005e-8,-1.0590019899859027
4e-9,5.972222222222224e-8,-1.1470032772630732
4e-9,6.194444444444445e-8,-1.2362902872529782
4e-9,6.416666666666668e-8,-1.3181663614795542
4e-9,6.638888888888889e-8,-1.3884510531129384
4e-9,6.861111111111112e-8,-1.4458173376572891
4e-9,7.083333333333333e-8,-1.4851160104654406
4e-9,7.305555555555556e-8,-1.5072434789727676
4e-9,7.527777777777779e-8,-1.523904567249317
4e-9,7.75e-8,-1.5325779980450487
4.500000000000001e-9,-7.75e-8,-3.1015431306956085
4.500000000000001e-9,-7.527777777777778e-8,-3.088858278809112
4.500000000000001e-9,-7.305555555555556e-8,-3.0492858845736626
4.500000000000001e-9,-7.083333333333333e-8,-2.980007723236691
4.500000000000001e-9,-6.86111111111111e-8,-2.880734521187736
4.500000000000001e-9,-6.638888888888889e-8,-2.754342841407649
4.500000000000001e-9,-6.416666666666667e-8,-2.601985136063605
4.500000000000001e-9,-6.194444444444445e-8,-2.4250797584592827
4.500000000000001e-9,-5.972222222222223e-8,-2.2348366402488455
4.500000000000001e-9,-5.75e-8,-2.046315109771146
4.500000000000001e-9,-5.472222222222222e-8,-1.8795956427165552
4.500000000000001e-9,-5.194444444444444e-8,-1.769686267052115
