#HEADER
Time (s),0
#DATA
Ryz (m),X (m),Defect Charge Density (C \cdot cm^{-3})
5e-9,-8.750000000000001e-8,-1.5971576880764518
5e-9,-8.472222222222224e-8,-1.5914901638008905
5e-9,-8.194444444444445e-8,-1.5738953813112357
5e-9,-7.916666666666668e-8,-1.5426261346098062
5e-9,-7.63888888888889e-8,-1.495759273453959
5e-9,-7.361111111111112e-8,-1.432993536308535
5e-9,-7.083333333333334e-8,-1.3554233173033208
5e-9,-6.805555555555557e-8,-1.2624382222908936
5e-9,-6.527777777777778e-8,-1.1581337836246912
5e-9,-6.250000000000001e-8,-1.0574249565293765
5e-9,-5.972222222222223e-8,-0.9739885816963387
5e-9,-5.6944444444444454e-8,-0.9168507111071116
5e-9,-5.4166666666666675e-8,-0.8935288865346889
5e-9,-5.13888888888889e-8,-0.9088497927223397
5e-9,-4.861111111111112e-8,-0.9695959123587692
5e-9,-4.583333333333334e-8,-1.0886791954683126
5e-9,-4.305555555555556e-8,-1.2864678331324162
5e-9,-4.027777777777778e-8,-1.554947715934417
5e-9,-3.7500000000000005e-8,-1.8188727596890226
5e-9,-3.700000000000001e-8,-2.0026606700263
5e-9,-3.65e-8,-2.1189645161005477
5e-9,-3.6000000000000005e-8,-2.208161918005226
5e-9,-3.550000000000001e-8,-2.278274812384867
5e-9,-3.5e-8,-2.3314995384350583
5e-9,-3.4500000000000005e-8,-2.3680762036840637
5e-9,-3.4000000000000007e-8,-2.388528867912899
5e-9,-3.35e-8,-2.3979127352098013
5e-9,-3.3000000000000004e-8,-2.4015969635185326
5e-9,-3.2500000000000006e-8,-2.4028231300554936
5e-9,-3.2e-8,-2.4031604731016802
5e-9,-3.1500000000000004e-8,-2.4032406183367607
5e-9,-3.1000000000000006e-8,-2.4032589814238206
5e-9,-3.05e-8,-2.4032633905469636
5e-9,-3.0000000000000004e-8,-2.403264518848167
5e-9,-2.9500000000000006e-8,-2.4032648326457537
5e-9,-2.9000000000000008e-8,-2.4032649228812115
5e-9,-2.8500000000000004e-8,-2.4032649454814674
5e-9,-2.8000000000000006e-8,-2.4032649500139285
5e-9,-2.75e-8,-2.4032649508235915
5e-9,-2.7000000000000004e-8,-2.403264950968996
5e-9,-2.6500000000000006e-8,-2.4032649509948785
5e-9,-2.6000000000000008e-8,-2.403264950999266
5e-9,-2.550000000000001e-8,-2.4032649509997324
5e-9,-2.5e-8,-2.403264950999746
5e-9,-2.45e-8,-2.4032649509999278
5e-9,-2.4000000000000003e-8,-2.4032649510000077
5e-9,-2.3500000000000005e-8,-2.4032649509998527
5e-9,-2.3000000000000007e-8,-2.4032649509998407
5e-9,-2.2499999999999996e-8,-2.403264951000007
5e-9,-2.2000000000000012e-8,-2.403264951000047
5e-9,-2.15e-8,-2.4032649510000375
5e-9,-2.1000000000000003e-8,-2.40326495100001
5e-9,-2.0500000000000005e-8,-2.4032649509999287
5e-9,-2.0000000000000007e-8,-2.4032649509999287
5e-9,-1.950000000000001e-8,-2.403264951000117
5e-9,-1.8999999999999998e-8,-2.403264951000038
5e-9,-1.85e-8,-2.4032649509998105
5e-9,-1.8000000000000002e-8,-2.4032649509998913
5e-9,-1.7500000000000005e-8,-2.4032649510000095
