#HEADER
Time (s),0
#DATA
Ryz (m),X (m),Defect Charge Density (C \cdot cm^{-3})
4e-9,-9.750000000000002e-8,-1.4105098499286115
4e-9,-9.416666666666668e-8,-1.40466543411351
4e-9,-9.083333333333335e-8,-1.3867533906776888
4e-9,-8.750000000000002e-8,-1.355560844884463
4e-9,-8.416666666666669e-8,-1.3086710825430832
4e-9,-8.083333333333335e-8,-1.2421026093932066
4e-9,-7.750000000000001e-8,-1.15378165980882
4e-9,-7.416666666666669e-8,-1.0470418939824964
4e-9,-7.083333333333335e-8,-0.9266922353820332
4e-9,-6.750000000000002e-8,-0.80990065706564
4e-9,-6.472222222222224e-8,-0.7182236947753097
4e-9,-6.194444444444446e-8,-0.6572741155280916
4e-9,-5.916666666666668e-8,-0.627106723555747
4e-9,-5.63888888888889e-8,-0.6294506140508884
4e-9,-5.3611111111111124e-8,-0.6678441494596139
4e-9,-5.0833333333333345e-8,-0.7493148112340547
4e-9,-4.8055555555555573e-8,-0.8907253567815548
4e-9,-4.527777777777779e-8,-1.0886252351365178
4e-9,-4.2500000000000017e-8,-1.2875786121038282
4e-9,-4.200000000000002e-8,-1.428216652660308
4e-9,-4.1500000000000014e-8,-1.5154859504190379
4e-9,-4.1000000000000016e-8,-1.588280026096263
4e-9,-4.050000000000002e-8,-1.6609778809034068
4e-9,-4.0000000000000014e-8,-1.7356697807124222
4e-9,-3.9500000000000016e-8,-1.8139273442055257
4e-9,-3.900000000000002e-8,-1.8930987067775509
4e-9,-3.8500000000000014e-8,-1.971449484747981
4e-9,-3.8000000000000016e-8,-2.0510591407177756
4e-9,-3.750000000000001e-8,-2.130785172142637
4e-9,-3.7000000000000014e-8,-2.2037430397587245
4e-9,-3.6500000000000016e-8,-2.2658465206435734
4e-9,-3.600000000000002e-8,-2.3174177898121644
4e-9,-3.550000000000002e-8,-2.356552536647132
4e-9,-3.500000000000001e-8,-2.381173710986843
4e-9,-3.450000000000001e-8,-2.393887459723735
4e-9,-3.400000000000001e-8,-2.3995540449927137
4e-9,-3.3500000000000015e-8,-2.401855090154035
4e-9,-3.300000000000002e-8,-2.4027464787663786
4e-9,-3.250000000000002e-8,-2.4030831934304135
4e-9,-3.200000000000002e-8,-2.4032047758518993
4e-9,-3.150000000000001e-8,-2.4032457936001683
4e-9,-3.100000000000001e-8,-2.4032589411432745
4e-9,-3.0500000000000015e-8,-2.4032630832278796
4e-9,-3.000000000000002e-8,-2.4032643792290314
4e-9,-2.950000000000002e-8,-2.4032647794100335
4e-9,-2.900000000000002e-8,-2.403264900608735
4e-9,-2.850000000000001e-8,-2.4032649364643444
4e-9,-2.8000000000000012e-8,-2.403264946847816
4e-9,-2.7500000000000015e-8,-2.403264949813744
4e-9,-2.7000000000000017e-8,-2.403264950656072
4e-9,-2.650000000000002e-8,-2.40326495089759
4e-9,-2.600000000000002e-8,-2.4032649509699513
4e-9,-2.550000000000001e-8,-2.4032649509920994
4e-9,-2.5000000000000012e-8,-2.403264950998106
4e-9,-2.4500000000000014e-8,-2.403264950999558
4e-9,-2.4000000000000016e-8,-2.403264950999928
4e-9,-2.350000000000002e-8,-2.4032649509999424
4e-9,-2.3000000000000007e-8,-2.4032649509999686
4e-9,-2.2500000000000023e-8,-2.403264950999973
4e-9,-2.2000000000000012e-8,-2.403264951000005
4e-9,-2.1500000000000014e-8,-2.403264951000134
4e-9,-2.1000000000000016e-8,-2.403264951000173
4e-9,-2.0500000000000018e-8,-2.4032649510000557
4e-9,-2.000000000000002e-8,-2.403264951000124
4e-9,-1.950000000000001e-8,-2.403264951000004
4e-9,-1.900000000000001e-8,-2.4032649509999358
4e-9,-1.8500000000000013e-8,-2.4032649510001742
4e-9,-1.8000000000000016e-8,-2.403264951000134
4e-9,-1.7500000000000018e-8,-2.4032649509999358
4e-9,-1.700000000000002e-8,-2.4032649509999757
4e-9,-1.6500000000000022e-8,-2.403264951000044
4e-9,-1.600000000000001e-8,-2.403264951000005
4e-9,-1.5500000000000013e-8,-2.403264951000015
4e-9,-1.5000000000000015e-8,-2.403264951000054
4e-9,-1.4500000000000017e-8,-2.4032649510000557
4e-9,-1.400000000000002e-8,-2.4032649510000055
4e-9,-1.3500000000000008e-8,-2.4032649510000037
4e-9,-1.300000000000001e-8,-2.4032649510000357
4e-9,-1.2500000000000013e-8,-2.4032649510000557
4e-9,-1.2000000000000015e-8,-2.403264951000055
4e-9,-1.1500000000000017e-8,-2.403264950999965
4e-9,-1.1000000000000006e-8,-2.403264951000005
4e-9,-1.0500000000000008e-8,-2.4032649510000947
4e-9,-1.000000000000001e-8,-2.403264950999996
4e-9,-9.500000000000012e-9,-2.403264950999996
4e-9,-9.000000000000014e-9,-2.403264950999996
4e-9,-8.500000000000017e-9,-2.4032649509999757
4e-9,-8.000000000000019e-9,-2.403264951000005
4e-9,-7.500000000000008e-9,-2.4032649510000255
4e-9,-7.00000000000001e-9,-2.403264951000044
4e-9,-6.500000000000012e-9,-2.4032649510000144
4e-9,-6.000000000000014e-9,-2.403264950999966
4e-9,-5.500000000000016e-9,-2.403264950999956
4e-9,-5.000000000000005e-9,-2.4032649509999855
4e-9,-4.500000000000007e-9,-2.4032649509999846
4e-9,-4.000000000000009e-9,-2.4032649509999846
4e-9,-3.5000000000000115e-9,-2.40326495099998
4e-9,-3.0000000000000136e-9,-2.4032649510000006
4e-9,-2.5000000000000158e-9,-2.4032649510000006
4e-9,-2.000000000000018e-9,-2.403264950999975
4e-9,-1.5000000000000068e-9,-2.4032649509999935
4e-9,-1.000000000000009e-9,-2.4032649510000024
4e-9,-5.000000000000111e-10,-2.4032649510000015
4e-9,-1.3234889800848443e-23,-2.403264950999999
4e-9,4.999999999999846e-10,-2.4032649509999997
4e-9,9.999999999999825e-10,-2.4032649510000024
4e-9,1.4999999999999936e-9,-2.4032649510000095
4e-9,1.9999999999999914e-9,-2.4032649510000157
4e-9,2.4999999999999893e-9,-2.403264951000005
4e-9,2.999999999999987e-9,-2.4032649510000006
4e-9,3.499999999999985e-9,-2.4032649510000006
4e-9,3.999999999999983e-9,-2.403264950999966
4e-9,4.499999999999994e-9,-2.4032649509999855
4e-9,4.999999999999992e-9,-2.403264951000045
4e-9,5.49999999999999e-9,-2.403264951000045
4e-9,5.9999999999999876e-9,-2.4032649510000343
4e-9,6.499999999999985e-9,-2.4032649510000725
4e-9,6.9999999999999965e-9,-2.4032649510000557
4e-9,7.499999999999981e-9,-2.403264950999996
4e-9,7.999999999999992e-9,-2.403264951000005
4e-9,8.49999999999999e-9,-2.4032649509999366
4e-9,8.999999999999988e-9,-2.4032649509999366
4e-9,9.499999999999986e-9,-2.403264950999916
4e-9,9.999999999999984e-9,-2.4032649509998842
4e-9,1.0499999999999995e-8,-2.403264950999964
4e-9,1.0999999999999993e-8,-2.4032649509999366
4e-9,1.149999999999999e-8,-2.4032649509999766
4e-9,1.1999999999999988e-8,-2.403264951000077
4e-9,1.2499999999999986e-8,-2.4032649510000343
4e-9,1.2999999999999984e-8,-2.403264951000013
4e-9,1.3499999999999982e-8,-2.4032649510000224
4e-9,1.3999999999999993e-8,-2.403264951000044
4e-9,1.4499999999999991e-8,-2.403264951000054
4e-9,1.499999999999999e-8,-2.4032649510000157
4e-9,1.5499999999999987e-8,-2.4032649509999375
4e-9,1.5999999999999984e-8,-2.4032649509999757
4e-9,1.6499999999999982e-8,-2.403264951000015
4e-9,1.699999999999998e-8,-2.403264950999964
4e-9,1.749999999999999e-8,-2.403264951000044
4e-9,1.799999999999999e-8,-2.4032649510000947
4e-9,1.8499999999999987e-8,-2.403264951000133
4e-9,1.8999999999999985e-8,-2.403264951000015
4e-9,1.9499999999999983e-8,-2.4032649509999255
4e-9,1.9999999999999994e-8,-2.4032649509999255
4e-9,2.0499999999999992e-8,-2.403264950999896
4e-9,2.099999999999999e-8,-2.4032649509998967
4e-9,2.1499999999999987e-8,-2.4032649509999757
4e-9,2.1999999999999985e-8,-2.403264951000154
4e-9,2.2499999999999996e-8,-2.403264951000106
4e-9,2.299999999999998e-8,-2.403264950999943
4e-9,2.3499999999999992e-8,-2.403264950999837
4e-9,2.3999999999999977e-8,-2.403264950999475
4e-9,2.4499999999999988e-8,-2.4032649509976673
4e-9,2.5e-8,-2.4032649509920545
4e-9,2.5499999999999983e-8,-2.4032649509733135
4e-9,2.5999999999999995e-8,-2.4032649509073334
4e-9,2.649999999999998e-8,-2.403264950671746
4e-9,2.699999999999999e-8,-2.40326494982244
4e-9,2.75e-8,-2.403264946751833
4e-9,2.7999999999999986e-8,-2.4032649356557023
4e-9,2.8499999999999997e-8,-2.4032648958359077
4e-9,2.8999999999999982e-8,-2.4032647553392694
4e-9,2.9499999999999993e-8,-2.4032642704645637
4e-9,2.999999999999998e-8,-2.4032626181920747
4e-9,3.049999999999999e-8,-2.403256948086649
4e-9,3.1e-8,-2.4032369097018744
4e-9,3.1499999999999984e-8,-2.4031661690994675
4e-9,3.1999999999999995e-8,-2.4029413977991085
4e-9,3.249999999999998e-8,-2.402328779328407
4e-9,3.299999999999999e-8,-2.400767464082935
4e-9,3.3499999999999976e-8,-2.3966174592014484
4e-9,3.399999999999999e-8,-2.3856980734181796
4e-9,3.45e-8,-2.362438718331916
4e-9,3.499999999999998e-8,-2.327139753497069
4e-9,3.5499999999999994e-8,-2.2860335644086542
4e-9,3.599999999999998e-8,-2.240457459071974
4e-9,3.649999999999999e-8,-2.185748679433761
4e-9,3.6999999999999974e-8,-2.119565340613079
4e-9,3.7499999999999985e-8,-2.0458152601678465
4e-9,3.7999999999999996e-8,-1.9705742512755942
4e-9,3.849999999999998e-8,-1.8955707525631598
4e-9,3.899999999999999e-8,-1.8200800377467754
4e-9,3.9499999999999977e-8,-1.7460291901719869
4e-9,3.999999999999999e-8,-1.675595011457277
4e-9,4.05e-8,-1.6076387885757013
4e-9,4.0999999999999983e-8,-1.5401066481326817
4e-9,4.1499999999999994e-8,-1.4735746676944577
4e-9,4.199999999999998e-8,-1.393771999988875
4e-9,4.249999999999999e-8,-1.258930615181779
4e-9,4.527777777777776e-8,-1.0659598549435954
4e-9,4.8055555555555534e-8,-0.875479856395648
4e-9,5.083333333333333e-8,-0.7396999650173094
4e-9,5.3611111111111104e-8,-0.6615397669835056
4e-9,5.6388888888888875e-8,-0.6247314966991759
4e-9,5.916666666666665e-8,-0.6229224451584285
4e-9,6.194444444444445e-8,-0.6536412034221092
4e-9,6.472222222222222e-8,-0.7153370405769017
4e-9,6.749999999999999e-8,-0.8070864397439209
4e-9,7.083333333333333e-8,-0.9229471020447294
4e-9,7.416666666666666e-8,-1.0413692081681287
4e-9,7.75e-8,-1.145473836898857
4e-9,8.083333333333334e-8,-1.232541521223072
4e-9,8.416666666666667e-8,-1.3008153342933075
4e-9,8.749999999999998e-8,-1.3506151154772794
4e-9,9.083333333333332e-8,-1.3837982124379353
4e-9,9.416666666666666e-8,-1.402661887400332
4e-9,9.749999999999999e-8,-1.408817045118448
4.500000000000001e-9,-9.750000000000002e-8,-2.807067273351568
4.500000000000001e-9,-9.416666666666668e-8,-2.7948896547657025
4.500000000000001e-9,-9.083333333333335e-8,-2.757559868760353
4.500000000000001e-9,-8.750000000000002e-8,-2.6924154431704554
4.500000000000001e-9,-8.416666666666669e-8,-2.594014092839438
4.500000000000001e-9,-8.083333333333335e-8,-2.4541702217570487
4.500000000000001e-9,-7.750000000000001e-8,-2.2701483574173538
4.500000000000001e-9,-7.416666666666669e-8,-2.0469028034079466
4.500000000000001e-9,-7.083333333333335e-8,-1.7941174757761624
4.500000000000001e-9,-6.750000000000002e-8,-1.550308627925617
4.500000000000001e-9,-6.472222222222224e-8,-1.3573459300398176
4.500000000000001e-9,-6.194444444444446e-8,-1.2278594300806258
4.500000000000001e-9,-5.916666666666668e-8,-1.1646723326521937
4.500000000000001e-9,-5.63888888888889e-8,-1.169343779541423
4.500000000000001e-9,-5.3611111111111124e-8,-1.2494825988477607
4.500000000000001e-9,-5.0833333333333345e-8,-1.4211333302074276
4.500000000000001e-9,-4.8055555555555573e-8,-1.7160626388560087
4.500000000000001e-9,-4.527777777777779e-8,-2.1285030700232213
4.500000000000001e-9,-4.2500000000000017e-8,-2.5466422973840768
