#HEADER
Time (s),0
#DATA
Ryz (m),X (m),Defect Charge Density (C \cdot cm^{-3})
4e-9,-8.750000000000001e-8,-1.8951182367686528
4e-9,-8.472222222222224e-8,-1.8897876615110354
4e-9,-8.194444444444445e-8,-1.8722002943794147
4e-9,-7.916666666666668e-8,-1.8375076201088882
4e-9,-7.63888888888889e-8,-1.7817433436508043
4e-9,-7.361111111111112e-8,-1.7058442826910023
4e-9,-7.083333333333334e-8,-1.6105943647470427
4e-9,-6.805555555555557e-8,-1.4947940974148606
4e-9,-6.527777777777778e-8,-1.368286244527275
4e-9,-6.250000000000001e-8,-1.2453490619483512
4e-9,-5.972222222222223e-8,-1.1419816149143627
4e-9,-5.6944444444444454e-8,-1.0753667129803552
4e-9,-5.4166666666666675e-8,-1.051106612068502
4e-9,-5.13888888888889e-8,-1.0722418872033732
4e-9,-4.861111111111112e-8,-1.1518393317623818
4e-9,-4.583333333333334e-8,-1.3097138606407646
4e-9,-4.305555555555556e-8,-1.5644813165833213
4e-9,-4.027777777777778e-8,-1.8881638168916004
4e-9,-3.7500000000000005e-8,-2.1613689282167456
4e-9,-3.700000000000001e-8,-2.3051683442109656
4e-9,-3.65e-8,-2.3641185545897176
4e-9,-3.6000000000000005e-8,-2.389563046370313
4e-9,-3.550000000000001e-8,-2.398573146440058
4e-9,-3.5e-8,-2.401444993885791
4e-9,-3.4500000000000005e-8,-2.4025048778749247
4e-9,-3.4000000000000007e-8,-2.4029728319560095
4e-9,-3.35e-8,-2.4031768651017784
4e-9,-3.3000000000000004e-8,-2.403246583440012
4e-9,-3.2500000000000006e-8,-2.403262422603512
4e-9,-3.2e-8,-2.403264684525847
4e-9,-3.1500000000000004e-8,-2.403264922203566
4e-9,-3.1000000000000006e-8,-2.4032649473153
4e-9,-3.05e-8,-2.4032649504805237
4e-9,-3.0000000000000004e-8,-2.4032649509237785
4e-9,-2.9500000000000006e-8,-2.4032649509884596
4e-9,-2.9000000000000008e-8,-2.4032649509983255
4e-9,-2.8500000000000004e-8,-2.4032649509996897
4e-9,-2.8000000000000006e-8,-2.403264950999993
4e-9,-2.75e-8,-2.4032649510002075
4e-9,-2.7000000000000004e-8,-2.4032649510000557
4e-9,-2.6500000000000006e-8,-2.4032649510000557
4e-9,-2.6000000000000008e-8,-2.4032649510000965
4e-9,-2.550000000000001e-8,-2.4032649509998825
4e-9,-2.5e-8,-2.403264950999846
4e-9,-2.45e-8,-2.403264951000058
4e-9,-2.4000000000000003e-8,-2.4032649510000925
4e-9,-2.3500000000000005e-8,-2.403264951000015
4e-9,-2.3000000000000007e-8,-2.4032649509999646
4e-9,-2.2499999999999996e-8,-2.4032649510000925
4e-9,-2.2000000000000012e-8,-2.403264950999974
4e-9,-2.15e-8,-2.403264950999846
4e-9,-2.1000000000000003e-8,-2.4032649509998967
4e-9,-2.0500000000000005e-8,-2.4032649509999757
4e-9,-2.0000000000000007e-8,-2.4032649510000557
4e-9,-1.950000000000001e-8,-2.4032649509999646
4e-9,-1.8999999999999998e-8,-2.403264950999885
4e-9,-1.85e-8,-2.4032649509998576
4e-9,-1.8000000000000002e-8,-2.4032649509998185
4e-9,-1.7500000000000005e-8,-2.4032649509998967
4e-9,-1.7000000000000007e-8,-2.4032649510000037
4e-9,-1.6499999999999996e-8,-2.403264950999974
4e-9,-1.600000000000001e-8,-2.4032649509999366
4e-9,-1.55e-8,-2.403264950999967
4e-9,-1.5000000000000002e-8,-2.4032649509999358
4e-9,-1.4500000000000004e-8,-2.4032649509999757
4e-9,-1.4000000000000006e-8,-2.4032649510000557
4e-9,-1.3500000000000008e-8,-2.403264951000005
4e-9,-1.2999999999999997e-8,-2.4032649510000628
4e-9,-1.25e-8,-2.403264951000093
4e-9,-1.2000000000000002e-8,-2.403264951000036
4e-9,-1.1500000000000004e-8,-2.403264950999996
4e-9,-1.1000000000000006e-8,-2.4032649510000454
4e-9,-1.0499999999999995e-8,-2.4032649510000654
4e-9,-9.999999999999997e-9,-2.4032649510000157
4e-9,-9.499999999999999e-9,-2.4032649509999366
4e-9,-9.000000000000001e-9,-2.4032649509999366
4e-9,-8.500000000000003e-9,-2.403264951000005
4e-9,-7.999999999999992e-9,-2.403264950999966
4e-9,-7.499999999999994e-9,-2.4032649509999366
4e-9,-6.9999999999999965e-9,-2.4032649509999366
4e-9,-6.499999999999999e-9,-2.403264950999956
4e-9,-6.000000000000001e-9,-2.4032649509999846
4e-9,-5.500000000000003e-9,-2.4032649510000446
4e-9,-5.000000000000005e-9,-2.403264951000064
4e-9,-4.499999999999994e-9,-2.4032649510000144
4e-9,-3.999999999999996e-9,-2.403264950999995
4e-9,-3.4999999999999983e-9,-2.40326495099999
4e-9,-3.0000000000000004e-9,-2.403264951
4e-9,-2.5000000000000025e-9,-2.403264951000015
4e-9,-1.9999999999999914e-9,-2.403264951000015
4e-9,-1.4999999999999936e-9,-2.4032649510000033
4e-9,-9.999999999999957e-10,-2.4032649509999966
4e-9,-4.999999999999979e-10,-2.4032649510000015
4e-9,0,-2.4032649509999997
4e-9,4.999999999999979e-10,-2.4032649510000015
4e-9,9.999999999999957e-10,-2.403264951000007
4e-9,1.5000000000000068e-9,-2.4032649510000024
4e-9,2.0000000000000047e-9,-2.403264951000005
4e-9,2.5000000000000025e-9,-2.4032649510000166
4e-9,3.0000000000000004e-9,-2.403264951000002
4e-9,3.4999999999999983e-9,-2.403264950999991
4e-9,4.000000000000009e-9,-2.4032649509999957
4e-9,4.499999999999994e-9,-2.4032649510000152
4e-9,5.000000000000005e-9,-2.403264951000064
4e-9,5.500000000000003e-9,-2.4032649510000446
4e-9,6.000000000000001e-9,-2.4032649509999846
4e-9,6.499999999999999e-9,-2.403264950999956
4e-9,6.9999999999999965e-9,-2.4032649509999664
4e-9,7.500000000000008e-9,-2.403264951000006
4e-9,8.000000000000005e-9,-2.4032649509999366
4e-9,8.500000000000003e-9,-2.4032649509999358
4e-9,9.000000000000001e-9,-2.4032649509999935
4e-9,9.499999999999999e-9,-2.403264950999963
4e-9,1.000000000000001e-8,-2.4032649509999557
4e-9,1.0499999999999995e-8,-2.403264951000036
4e-9,1.1000000000000006e-8,-2.4032649510000454
4e-9,1.1500000000000004e-8,-2.403264950999998
4e-9,1.2000000000000002e-8,-2.4032649509999784
4e-9,1.25e-8,-2.4032649510000343
4e-9,1.2999999999999997e-8,-2.403264951000093
4e-9,1.3499999999999995e-8,-2.4032649509999366
4e-9,1.3999999999999993e-8,-2.4032649509999064
4e-9,1.4500000000000004e-8,-2.4032649509999255
4e-9,1.5000000000000002e-8,-2.403264950999817
4e-9,1.55e-8,-2.4032649509998967
4e-9,1.5999999999999998e-8,-2.4032649510000557
4e-9,1.6499999999999996e-8,-2.403264951000044
4e-9,1.7000000000000007e-8,-2.4032649510000037
4e-9,1.7500000000000005e-8,-2.403264951000134
4e-9,1.8000000000000002e-8,-2.4032649510001742
4e-9,1.85e-8,-2.4032649509999757
4e-9,1.8999999999999998e-8,-2.4032649509998967
4e-9,1.9499999999999996e-8,-2.403264951000015
4e-9,1.9999999999999994e-8,-2.403264951000044
4e-9,2.0500000000000005e-8,-2.4032649509999255
4e-9,2.1000000000000003e-8,-2.4032649509998985
4e-9,2.15e-8,-2.4032649509997803
4e-9,2.2e-8,-2.403264950999856
4e-9,2.2499999999999996e-8,-2.403264951000044
4e-9,2.3000000000000007e-8,-2.403264950999967
4e-9,2.3500000000000005e-8,-2.403264950999894
4e-9,2.4000000000000003e-8,-2.403264950999853
4e-9,2.45e-8,-2.4032649509999393
4e-9,2.5e-8,-2.403264951000062
4e-9,2.5499999999999997e-8,-2.4032649510001347
4e-9,2.5999999999999995e-8,-2.403264951000124
4e-9,2.6500000000000006e-8,-2.4032649510000477
4e-9,2.7000000000000004e-8,-2.4032649510000534
4e-9,2.75e-8,-2.4032649509998167
4e-9,2.8e-8,-2.403264950999773
4e-9,2.8499999999999997e-8,-2.4032649509997563
4e-9,2.9000000000000008e-8,-2.4032649509999002
4e-9,2.9499999999999993e-8,-2.4032649509989925
4e-9,3.0000000000000004e-8,-2.4032649509892092
4e-9,3.05e-8,-2.4032649508985418
4e-9,3.1e-8,-2.403264950214713
4e-9,3.15e-8,-2.403264946589755
4e-9,3.1999999999999995e-8,-2.4032649302754914
4e-9,3.2500000000000006e-8,-2.4032648504346428
4e-9,3.299999999999999e-8,-2.4032643941865572
4e-9,3.35e-8,-2.4032615357038374
4e-9,3.400000000000001e-8,-2.40324437736907
4e-9,3.45e-8,-2.4031582016242234
4e-9,3.500000000000001e-8,-2.4027962423306204
4e-9,3.5499999999999994e-8,-2.401461872103373
4e-9,3.6000000000000005e-8,-2.3974414674284397
4e-9,3.649999999999999e-8,-2.3881945980354438
4e-9,3.7e-8,-2.3601875872782943
4e-9,3.750000000000001e-8,-2.245018439642511
4e-9,4.027777777777778e-8,-1.9614169611413617
4e-9,4.3055555555555555e-8,-1.605737305178673
4e-9,4.5833333333333353e-8,-1.3345933384228978
4e-9,4.8611111111111125e-8,-1.1656046717761652
