#HEADER
Time (s),0
#DATA
Ryz (m),X (m),Defect Charge Density (C \cdot cm^{-3})
4e-9,-8.750000000000001e-8,-1.64348767391811
4e-9,-8.472222222222224e-8,-1.6372118799086164
4e-9,-8.194444444444445e-8,-1.6177403159099923
4e-9,-7.916666666666668e-8,-1.5829454613867706
4e-9,-7.63888888888889e-8,-1.5300838531253436
4e-9,-7.361111111111112e-8,-1.4583536206106344
4e-9,-7.083333333333334e-8,-1.3701162394512645
4e-9,-6.805555555555557e-8,-1.2659247527182294
4e-9,-6.527777777777778e-8,-1.1502889754341792
4e-9,-6.250000000000001e-8,-1.0391883318091883
4e-9,-5.972222222222223e-8,-0.9470431198518996
4e-9,-5.6944444444444454e-8,-0.8846196605354012
4e-9,-5.4166666666666675e-8,-0.8607556873612023
4e-9,-5.13888888888889e-8,-0.880362007090061
4e-9,-4.861111111111112e-8,-0.9517695101565652
4e-9,-4.583333333333334e-8,-1.0892742286122798
4e-9,-4.305555555555556e-8,-1.3131242390068862
4e-9,-4.027777777777778e-8,-1.6092331567464628
4e-9,-3.7500000000000005e-8,-1.8900465280705172
4e-9,-3.700000000000001e-8,-2.0820042056367005
4e-9,-3.65e-8,-2.1990513676272694
4e-9,-3.6000000000000005e-8,-2.2796751963849236
4e-9,-3.550000000000001e-8,-2.3369772852475634
4e-9,-3.5e-8,-2.372137505203712
4e-9,-3.4500000000000005e-8,-2.3900694100050455
4e-9,-3.4000000000000007e-8,-2.398198593061797
4e-9,-3.35e-8,-2.401576378520107
4e-9,-3.3000000000000004e-8,-2.402810020939965
4e-9,-3.2500000000000006e-8,-2.4031704356972368
4e-9,-3.2e-8,-2.4032487110819165
4e-9,-3.1500000000000004e-8,-2.403262191474788
4e-9,-3.1000000000000006e-8,-2.4032644273727657
4e-9,-3.05e-8,-2.4032648399206327
4e-9,-3.0000000000000004e-8,-2.403264925223197
4e-9,-2.9500000000000006e-8,-2.4032649449565007
4e-9,-2.9000000000000008e-8,-2.403264949783222
4e-9,-2.8500000000000004e-8,-2.4032649508056827
4e-9,-2.8000000000000006e-8,-2.403264950972655
4e-9,-2.75e-8,-2.4032649509963373
4e-9,-2.7000000000000004e-8,-2.4032649509995183
4e-9,-2.6500000000000006e-8,-2.403264950999988
4e-9,-2.6000000000000008e-8,-2.403264951000089
4e-9,-2.550000000000001e-8,-2.403264950999882
4e-9,-2.5e-8,-2.403264950999846
4e-9,-2.45e-8,-2.403264951000058
4e-9,-2.4000000000000003e-8,-2.4032649510000925
4e-9,-2.3500000000000005e-8,-2.403264951000015
4e-9,-2.3000000000000007e-8,-2.4032649509999646
4e-9,-2.2499999999999996e-8,-2.4032649510000925
4e-9,-2.2000000000000012e-8,-2.403264950999974
4e-9,-2.15e-8,-2.403264950999846
4e-9,-2.1000000000000003e-8,-2.4032649509998967
4e-9,-2.0500000000000005e-8,-2.4032649509999757
4e-9,-2.0000000000000007e-8,-2.4032649510000557
4e-9,-1.950000000000001e-8,-2.4032649509999646
4e-9,-1.8999999999999998e-8,-2.403264950999885
4e-9,-1.85e-8,-2.4032649509998576
4e-9,-1.8000000000000002e-8,-2.4032649509998185
4e-9,-1.7500000000000005e-8,-2.4032649509998967
4e-9,-1.7000000000000007e-8,-2.4032649510000037
4e-9,-1.6499999999999996e-8,-2.403264950999974
4e-9,-1.600000000000001e-8,-2.4032649509999366
4e-9,-1.55e-8,-2.403264950999967
4e-9,-1.5000000000000002e-8,-2.4032649509999358
4e-9,-1.4500000000000004e-8,-2.4032649509999757
4e-9,-1.4000000000000006e-8,-2.4032649510000557
4e-9,-1.3500000000000008e-8,-2.403264951000005
4e-9,-1.2999999999999997e-8,-2.4032649510000628
4e-9,-1.25e-8,-2.403264951000093
4e-9,-1.2000000000000002e-8,-2.403264951000036
4e-9,-1.1500000000000004e-8,-2.403264950999996
4e-9,-1.1000000000000006e-8,-2.4032649510000454
4e-9,-1.0499999999999995e-8,-2.4032649510000654
4e-9,-9.999999999999997e-9,-2.4032649510000157
4e-9,-9.499999999999999e-9,-2.4032649509999366
4e-9,-9.000000000000001e-9,-2.4032649509999366
4e-9,-8.500000000000003e-9,-2.403264951000005
4e-9,-7.999999999999992e-9,-2.403264950999966
4e-9,-7.499999999999994e-9,-2.4032649509999366
4e-9,-6.9999999999999965e-9,-2.4032649509999366
4e-9,-6.499999999999999e-9,-2.403264950999956
4e-9,-6.000000000000001e-9,-2.4032649509999846
4e-9,-5.500000000000003e-9,-2.4032649510000446
4e-9,-5.000000000000005e-9,-2.403264951000064
4e-9,-4.499999999999994e-9,-2.4032649510000144
4e-9,-3.999999999999996e-9,-2.403264950999995
4e-9,-3.4999999999999983e-9,-2.40326495099999
4e-9,-3.0000000000000004e-9,-2.403264951
4e-9,-2.5000000000000025e-9,-2.403264951000015
4e-9,-1.9999999999999914e-9,-2.403264951000015
4e-9,-1.4999999999999936e-9,-2.4032649510000033
4e-9,-9.999999999999957e-10,-2.4032649509999966
4e-9,-4.999999999999979e-10,-2.4032649510000015
4e-9,0,-2.4032649509999997
4e-9,4.999999999999979e-10,-2.4032649510000015
4e-9,9.999999999999957e-10,-2.403264951000007
4e-9,1.5000000000000068e-9,-2.4032649510000024
4e-9,2.0000000000000047e-9,-2.403264951000005
4e-9,2.5000000000000025e-9,-2.4032649510000166
4e-9,3.0000000000000004e-9,-2.403264951000002
4e-9,3.4999999999999983e-9,-2.403264950999991
4e-9,4.000000000000009e-9,-2.4032649509999957
4e-9,4.499999999999994e-9,-2.4032649510000152
4e-9,5.000000000000005e-9,-2.403264951000064
4e-9,5.500000000000003e-9,-2.4032649510000446
4e-9,6.000000000000001e-9,-2.4032649509999846
4e-9,6.499999999999999e-9,-2.403264950999956
4e-9,6.9999999999999965e-9,-2.4032649509999664
4e-9,7.500000000000008e-9,-2.403264951000006
