#HEADER
Time (s),0
#DATA
Ryz (m),X (m),Defect Charge Density (C \cdot cm^{-3})
4e-9,-7.75e-8,-1.2966768510302977
4e-9,-7.527777777777778e-8,-1.2909394752096262
4e-9,-7.305555555555556e-8,-1.2734033598679972
4e-9,-7.083333333333333e-8,-1.2432784588190111
4e-9,-6.86111111111111e-8,-1.2000017921503825
4e-9,-6.638888888888889e-8,-1.1444142909330905
4e-9,-6.416666666666667e-8,-1.0789754196116073
4e-9,-6.194444444444445e-8,-1.0055605829090648
4e-9,-5.972222222222223e-8,-0.9249992014974379
4e-9,-5.75e-8,-0.8429203075002918
4e-9,-5.472222222222222e-8,-0.7721337219691288
4e-9,-5.194444444444444e-8,-0.7261438421413945
4e-9,-4.9166666666666664e-8,-0.714500588181521
4e-9,-4.6388888888888885e-8,-0.7436912409171232
4e-9,-4.361111111111111e-8,-0.8265126735800049
4e-9,-4.0833333333333335e-8,-0.985631598509461
4e-9,-3.805555555555555e-8,-1.2455073869459385
4e-9,-3.527777777777778e-8,-1.5920593979216378
4e-9,-3.249999999999999e-8,-1.9262225201353826
4e-9,-3.1999999999999995e-8,-2.1480792824175166
4e-9,-3.149999999999999e-8,-2.266326009142964
4e-9,-3.099999999999999e-8,-2.3369421400885066
4e-9,-3.0499999999999995e-8,-2.378456099613291
4e-9,-2.999999999999999e-8,-2.3957592722431613
4e-9,-2.9499999999999993e-8,-2.401298801522107
4e-9,-2.8999999999999995e-8,-2.4028113802720177
4e-9,-2.849999999999999e-8,-2.403173665848585
4e-9,-2.7999999999999993e-8,-2.403248407576124
4e-9,-2.7499999999999995e-8,-2.403262048511174
4e-9,-2.699999999999999e-8,-2.4032644315707756
4e-9,-2.6499999999999992e-8,-2.4032648552877953
4e-9,-2.5999999999999995e-8,-2.40326493293441
4e-9,-2.549999999999999e-8,-2.403264947506994
4e-9,-2.4999999999999992e-8,-2.403264950309893
4e-9,-2.4499999999999994e-8,-2.4032649508639463
4e-9,-2.399999999999999e-8,-2.4032649509745037
4e-9,-2.3499999999999992e-8,-2.4032649509955606
4e-9,-2.2999999999999994e-8,-2.403264950999244
