#HEADER
Time (s),0
#DATA
Ryz (m),X (m),Defect Charge Density (C \cdot cm^{-3})
6.000000000000001e-9,-7.75e-8,-1.262467381412429
6.000000000000001e-9,-7.527777777777778e-8,-1.2576663980958935
6.000000000000001e-9,-7.305555555555556e-8,-1.2430366124490972
6.000000000000001e-9,-7.083333333333333e-8,-1.2180413234515228
6.000000000000001e-9,-6.86111111111111e-8,-1.1823154676141794
6.000000000000001e-9,-6.638888888888889e-8,-1.1363637686581844
6.000000000000001e-9,-6.416666666666667e-8,-1.081726806354268
6.000000000000001e-9,-6.194444444444445e-8,-1.0199637133884885
6.000000000000001e-9,-5.972222222222223e-8,-0.9518820584002383
6.000000000000001e-9,-5.75e-8,-0.8811185258062777
6.000000000000001e-9,-5.472222222222222e-8,-0.8184939997701172
6.000000000000001e-9,-5.194444444444444e-8,-0.7769620689080173
6.000000000000001e-9,-4.9166666666666664e-8,-0.7644581152057979
6.000000000000001e-9,-4.6388888888888885e-8,-0.7858524195874259
6.000000000000001e-9,-4.361111111111111e-8,-0.8518314930419553
6.000000000000001e-9,-4.0833333333333335e-8,-0.980185283011365
6.000000000000001e-9,-3.805555555555555e-8,-1.1939660040414155
6.000000000000001e-9,-3.527777777777778e-8,-1.4882831486981982
6.000000000000001e-9,-3.249999999999999e-8,-1.7844880486124652
6.000000000000001e-9,-3.1999999999999995e-8,-1.9917852308826733
6.000000000000001e-9,-3.149999999999999e-8,-2.1167502115152956
6.000000000000001e-9,-3.099999999999999e-8,-2.2097553074998872
6.000000000000001e-9,-3.0499999999999995e-8,-2.2848480406716822
6.000000000000001e-9,-2.999999999999999e-8,-2.342057705419182
6.000000000000001e-9,-2.9499999999999993e-8,-2.3782121925248103
6.000000000000001e-9,-2.8999999999999995e-8,-2.3949766935264374
6.000000000000001e-9,-2.849999999999999e-8,-2.4009202576498976
6.000000000000001e-9,-2.7999999999999993e-8,-2.402666988973326
6.000000000000001e-9,-2.7499999999999995e-8,-2.4031203209042125
6.000000000000001e-9,-2.699999999999999e-8,-2.4032307467787817
6.000000000000001e-9,-2.6499999999999992e-8,-2.403256997579266
6.000000000000001e-9,-2.5999999999999995e-8,-2.403263138023229
6.000000000000001e-9,-2.549999999999999e-8,-2.40326454650551
6.000000000000001e-9,-2.4999999999999992e-8,-2.4032648628549236
6.000000000000001e-9,-2.4499999999999994e-8,-2.403264932337734
6.000000000000001e-9,-2.399999999999999e-8,-2.4032649471966026
6.000000000000001e-9,-2.3499999999999992e-8,-2.4032649502589782
6.000000000000001e-9,-2.2999999999999994e-8,-2.403264950861093
6.000000000000001e-9,-2.2499999999999996e-8,-2.4032649509743718
6.000000000000001e-9,-2.1999999999999992e-8,-2.4032649509954744
6.000000000000001e-9,-2.1499999999999994e-8,-2.4032649509993314
6.000000000000001e-9,-2.0999999999999996e-8,-2.403264950999823
6.000000000000001e-9,-2.0499999999999992e-8,-2.4032649509998087
6.000000000000001e-9,-1.9999999999999994e-8,-2.4032649509997652
6.000000000000001e-9,-1.9499999999999996e-8,-2.403264950999764
6.000000000000001e-9,-1.899999999999999e-8,-2.403264951000085
6.000000000000001e-9,-1.8499999999999994e-8,-2.4032649510000557
6.000000000000001e-9,-1.7999999999999996e-8,-2.4032649509997306
6.000000000000001e-9,-1.749999999999999e-8,-2.4032649510000037
6.000000000000001e-9,-1.6999999999999993e-8,-2.4032649510001294
6.000000000000001e-9,-1.6499999999999996e-8,-2.4032649510000024
6.000000000000001e-9,-1.5999999999999984e-8,-2.4032649509999318
6.000000000000001e-9,-1.55e-8,-2.4032649509999318
6.000000000000001e-9,-1.499999999999999e-8,-2.4032649509999615
6.000000000000001e-9,-1.4499999999999991e-8,-2.4032649510000526
6.000000000000001e-9,-1.3999999999999993e-8,-2.403264951000171
6.000000000000001e-9,-1.3499999999999995e-8,-2.403264951000131
6.000000000000001e-9,-1.2999999999999997e-8,-2.4032649510000406
6.000000000000001e-9,-1.2499999999999986e-8,-2.403264951000159
6.000000000000001e-9,-1.1999999999999988e-8,-2.4032649510001294
6.000000000000001e-9,-1.149999999999999e-8,-2.4032649510000006
6.000000000000001e-9,-1.099999999999998e-8,-2.4032649510000024
6.000000000000001e-9,-1.0499999999999982e-8,-2.4032649510000526
6.000000000000001e-9,-9.999999999999984e-9,-2.4032649510000526
6.000000000000001e-9,-9.499999999999986e-9,-2.4032649510000317
6.000000000000001e-9,-8.999999999999988e-9,-2.403264951000052
6.000000000000001e-9,-8.49999999999999e-9,-2.4032649510000526
6.000000000000001e-9,-7.999999999999992e-9,-2.403264951000021
6.000000000000001e-9,-7.499999999999981e-9,-2.4032649509999624
6.000000000000001e-9,-6.999999999999983e-9,-2.403264950999973
6.000000000000001e-9,-6.499999999999985e-9,-2.4032649510000317
6.000000000000001e-9,-5.9999999999999876e-9,-2.4032649509999935
6.000000000000001e-9,-5.49999999999999e-9,-2.4032649509999624
6.000000000000001e-9,-4.999999999999979e-9,-2.4032649510000104
6.000000000000001e-9,-4.499999999999981e-9,-2.403264951000012
6.000000000000001e-9,-3.999999999999983e-9,-2.4032649509999633
6.000000000000001e-9,-3.499999999999985e-9,-2.4032649509999824
6.000000000000001e-9,-2.999999999999987e-9,-2.403264951000013
