#HEADER
Time (s),0
#DATA
Ryz (m),X (m),Defect Charge Density (C \cdot cm^{-3})
5e-9,-7.75e-8,-1.7760266036047483
5e-9,-7.527777777777778e-8,-1.7711780203197638
5e-9,-7.305555555555556e-8,-1.7552442540886202
5e-9,-7.083333333333333e-8,-1.7257108758719475
5e-9,-6.86111111111111e-8,-1.6818642170988536
5e-9,-6.638888888888889e-8,-1.624112313655909
5e-9,-6.416666666666667e-8,-1.551709728691934
5e-9,-6.194444444444445e-8,-1.4668293184359933
5e-9,-5.972222222222223e-8,-1.3765033994822198
5e-9,-5.75e-8,-1.2856311780974046
5e-9,-5.472222222222222e-8,-1.2031181073480028
5e-9,-5.194444444444444e-8,-1.1484565180876756
5e-9,-4.9166666666666664e-8,-1.137132308094071
5e-9,-4.6388888888888885e-8,-1.172934522659372
5e-9,-4.361111111111111e-8,-1.273999654809316
5e-9,-4.0833333333333335e-8,-1.4889440296926417
5e-9,-3.805555555555555e-8,-1.8423844801221787
5e-9,-3.527777777777778e-8,-2.209488121921024
5e-9,-3.249999999999999e-8,-2.3843146780250386
5e-9,-3.1999999999999995e-8,-2.4025516780842393
5e-9,-3.149999999999999e-8,-2.403168275168225
5e-9,-3.099999999999999e-8,-2.403244861069505
5e-9,-3.0499999999999995e-8,-2.403260798590124
5e-9,-2.999999999999999e-8,-2.4032640990222367
5e-9,-2.9499999999999993e-8,-2.4032647851492976
5e-9,-2.8999999999999995e-8,-2.4032649243940076
5e-9,-2.849999999999999e-8,-2.4032649481440456
5e-9,-2.7999999999999993e-8,-2.4032649507895547
5e-9,-2.7499999999999995e-8,-2.40326495098629
5e-9,-2.699999999999999e-8,-2.4032649509993464
5e-9,-2.6499999999999992e-8,-2.4032649510000295
5e-9,-2.5999999999999995e-8,-2.403264951000235
5e-9,-2.549999999999999e-8,-2.4032649510002386
5e-9,-2.4999999999999992e-8,-2.4032649510000024
5e-9,-2.4499999999999994e-8,-2.403264950999999
5e-9,-2.399999999999999e-8,-2.403264951000004
5e-9,-2.3499999999999992e-8,-2.40326495100009
5e-9,-2.2999999999999994e-8,-2.403264950999853
5e-9,-2.2499999999999996e-8,-2.4032649509997674
5e-9,-2.1999999999999992e-8,-2.403264951000004
5e-9,-2.1499999999999994e-8,-2.4032649509997697
5e-9,-2.0999999999999996e-8,-2.403264950999764
5e-9,-2.0499999999999992e-8,-2.403264951000045
5e-9,-1.9999999999999994e-8,-2.4032649509999695
5e-9,-1.9499999999999996e-8,-2.403264950999804
5e-9,-1.899999999999999e-8,-2.4032649510000024
5e-9,-1.8499999999999994e-8,-2.4032649510001276
5e-9,-1.7999999999999996e-8,-2.4032649510000432
5e-9,-1.749999999999999e-8,-2.4032649510000414
5e-9,-1.6999999999999993e-8,-2.4032649510000095
5e-9,-1.6499999999999996e-8,-2.403264951000039
5e-9,-1.5999999999999984e-8,-2.403264951000045
5e-9,-1.55e-8,-2.403264950999888
5e-9,-1.499999999999999e-8,-2.4032649509998802
5e-9,-1.4499999999999991e-8,-2.4032649510000494
5e-9,-1.3999999999999993e-8,-2.4032649510000477
5e-9,-1.3499999999999995e-8,-2.4032649509999287
5e-9,-1.2999999999999997e-8,-2.4032649509999198
5e-9,-1.2499999999999986e-8,-2.403264950999997
5e-9,-1.1999999999999988e-8,-2.4032649510000477
5e-9,-1.149999999999999e-8,-2.403264950999997
5e-9,-1.099999999999998e-8,-2.403264950999859
5e-9,-1.0499999999999982e-8,-2.4032649509999295
5e-9,-9.999999999999984e-9,-2.403264951000047
5e-9,-9.499999999999986e-9,-2.4032649509999686
5e-9,-8.999999999999988e-9,-2.4032649509999886
5e-9,-8.49999999999999e-9,-2.403264950999948
5e-9,-7.999999999999992e-9,-2.4032649509998794
5e-9,-7.499999999999981e-9,-2.403264950999997
5e-9,-6.999999999999983e-9,-2.403264951000086
5e-9,-6.499999999999985e-9,-2.4032649510000863
5e-9,-5.9999999999999876e-9,-2.4032649509999873
5e-9,-5.49999999999999e-9,-2.403264950999958
5e-9,-4.999999999999979e-9,-2.4032649509999873
5e-9,-4.499999999999981e-9,-2.4032649510000073
5e-9,-3.999999999999983e-9,-2.4032649510000277
5e-9,-3.499999999999985e-9,-2.403264950999988
5e-9,-2.999999999999987e-9,-2.403264950999988
5e-9,-2.4999999999999893e-9,-2.4032649510000024
5e-9,-1.9999999999999914e-9,-2.4032649509999926
5e-9,-1.4999999999999803e-9,-2.403264951000003
5e-9,-9.999999999999825e-10,-2.4032649509999953
5e-9,-4.999999999999846e-10,-2.403264950999991
5e-9,1.3234889800848443e-23,-2.403264950999991
5e-9,5.000000000000111e-10,-2.403264950999996
5e-9,1.000000000000009e-9,-2.4032649510000006
5e-9,1.50000000000002e-9,-2.403264950999995
5e-9,2.000000000000018e-9,-2.403264950999983
5e-9,2.5000000000000158e-9,-2.4032649509999735
5e-9,3.0000000000000136e-9,-2.403264950999998
5e-9,3.5000000000000115e-9,-2.4032649509999873
5e-9,4.000000000000009e-9,-2.4032649509999873
5e-9,4.5000000000000204e-9,-2.403264951000008
5e-9,5.000000000000018e-9,-2.403264951000008
5e-9,5.500000000000016e-9,-2.403264951000028
5e-9,6.000000000000014e-9,-2.4032649509999797
5e-9,6.500000000000012e-9,-2.4032649509999398
5e-9,7.000000000000023e-9,-2.4032649509999686
5e-9,7.500000000000008e-9,-2.403264950999948
5e-9,8.000000000000019e-9,-2.403264950999977
5e-9,8.500000000000017e-9,-2.4032649510000867
5e-9,9.000000000000014e-9,-2.4032649510000867
5e-9,9.500000000000012e-9,-2.4032649509999864
5e-9,1.000000000000001e-8,-2.403264950999997
5e-9,1.0500000000000021e-8,-2.4032649509999584
5e-9,1.1000000000000019e-8,-2.40326495099991
5e-9,1.1500000000000017e-8,-2.4032649510000272
5e-9,1.2000000000000015e-8,-2.4032649509999686
5e-9,1.2500000000000013e-8,-2.4032649509999304
5e-9,1.300000000000001e-8,-2.4032649509999304
5e-9,1.3500000000000008e-8,-2.4032649509999966
5e-9,1.400000000000002e-8,-2.403264951000115
5e-9,1.4500000000000017e-8,-2.4032649510001276
5e-9,1.5000000000000015e-8,-2.403264951000007
5e-9,1.5500000000000013e-8,-2.4032649509999686
5e-9,1.600000000000001e-8,-2.4032649510000477
5e-9,1.650000000000001e-8,-2.403264951000046
5e-9,1.7000000000000007e-8,-2.4032649509999975
5e-9,1.7500000000000018e-8,-2.4032649509997617
5e-9,1.8000000000000016e-8,-2.4032649509998087
5e-9,1.8500000000000013e-8,-2.403264951000046
5e-9,1.900000000000001e-8,-2.403264951000051
5e-9,1.950000000000001e-8,-2.403264950999998
5e-9,2.000000000000002e-8,-2.403264950999998
5e-9,2.0500000000000018e-8,-2.403264951000006
5e-9,2.1000000000000016e-8,-2.4032649510000024
5e-9,2.1500000000000014e-8,-2.4032649510000863
5e-9,2.2000000000000012e-8,-2.4032649510000863
5e-9,2.250000000000001e-8,-2.4032649510002435
5e-9,2.3000000000000007e-8,-2.4032649510002377
5e-9,2.350000000000002e-8,-2.403264950999997
5e-9,2.4000000000000016e-8,-2.4032649509997652
5e-9,2.4500000000000014e-8,-2.4032649509997692
5e-9,2.5000000000000012e-8,-2.4032649509998496
5e-9,2.550000000000001e-8,-2.4032649509998376
5e-9,2.600000000000002e-8,-2.4032649509999944
5e-9,2.650000000000002e-8,-2.4032649510000823
5e-9,2.7000000000000017e-8,-2.403264950999948
5e-9,2.7500000000000015e-8,-2.4032649509989774
5e-9,2.8000000000000012e-8,-2.403264950986565
5e-9,2.850000000000001e-8,-2.403264950827041
5e-9,2.9000000000000008e-8,-2.403264949034731
5e-9,2.950000000000002e-8,-2.403264932501717
5e-9,3.000000000000002e-8,-2.4032648037986997
5e-9,3.0500000000000015e-8,-2.403263895654459
5e-9,3.100000000000001e-8,-2.4032583890916195
5e-9,3.150000000000001e-8,-2.4032327774313558
5e-9,3.200000000000002e-8,-2.4030514867207393
5e-9,3.2500000000000006e-8,-2.3961969044291154
5e-9,3.527777777777778e-8,-2.259641394682257
5e-9,3.805555555555556e-8,-1.91585414464267
5e-9,4.0833333333333335e-8,-1.5598814588802017
5e-9,4.361111111111112e-8,-1.3345153558544571
5e-9,4.638888888888889e-8,-1.2035440129850254
5e-9,4.9166666666666664e-8,-1.1404097124083707
5e-9,5.194444444444446e-8,-1.1403978055822268
5e-9,5.4722222222222234e-8,-1.1924740974949444
5e-9,5.7500000000000005e-8,-1.2726609517177245
5e-9,5.972222222222224e-8,-1.3594300539063018
5e-9,6.194444444444445e-8,-1.4448211935451294
5e-9,6.416666666666668e-8,-1.5253003103710876
5e-9,6.638888888888889e-8,-1.594421125293438
5e-9,6.861111111111112e-8,-1.6461550429370457
5e-9,7.083333333333333e-8,-1.674987263895998
5e-9,7.305555555555556e-8,-1.687471213104548
5e-9,7.527777777777779e-8,-1.70194876054548
5e-9,7.75e-8,-1.7118853593952261
5.5000000000000004e-9,-7.75e-8,-3.5174767948049004
5.5000000000000004e-9,-7.527777777777778e-8,-3.507115520307191
5.5000000000000004e-9,-7.305555555555556e-8,-3.4734545027471606
5.5000000000000004e-9,-7.083333333333333e-8,-3.4117188061414008
5.5000000000000004e-9,-6.86111111111111e-8,-3.3199702522255223
5.5000000000000004e-9,-6.638888888888889e-8,-3.1976477454789523
5.5000000000000004e-9,-6.416666666666667e-8,-3.04382092986603
5.5000000000000004e-9,-6.194444444444445e-8,-2.8661646189066574
5.5000000000000004e-9,-5.972222222222223e-8,-2.67689517010335
5.5000000000000004e-9,-5.75e-8,-2.4834170086580607
5.5000000000000004e-9,-5.472222222222222e-8,-2.3097594715019016
5.5000000000000004e-9,-5.194444444444444e-8,-2.1971043048938794
5.5000000000000004e-9,-4.9166666666666664e-8,-2.1738151588227144
5.5000000000000004e-9,-4.6388888888888885e-8,-2.2489629492157803
5.5000000000000004e-9,-4.361111111111111e-8,-2.4640144195755904
5.5000000000000004e-9,-4.0833333333333335e-8,-2.915066786583653
5.5000000000000004e-9,-3.805555555555555e-8,-3.6545104937695463
5.5000000000000004e-9,-3.527777777777778e-8,-4.421380726019279
5.5000000000000004e-9,-3.249999999999999e-8,-4.776033551003614
5.5000000000000004e-9,-3.1999999999999995e-8,-4.805600066285426
5.5000000000000004e-9,-3.149999999999999e-8,-4.806411069562717
5.5000000000000004e-9,-3.099999999999999e-8,-4.806505805449405
5.5000000000000004e-9,-3.0499999999999995e-8,-4.806525066861538
5.5000000000000004e-9,-2.999999999999999e-8,-4.806528939904814
5.5000000000000004e-9,-2.9499999999999993e-8,-4.806529719521702
5.5000000000000004e-9,-2.8999999999999995e-8,-4.806529873284354
5.5000000000000004e-9,-2.849999999999999e-8,-4.806529898956168
5.5000000000000004e-9,-2.7999999999999993e-8,-4.8065299017772425
5.5000000000000004e-9,-2.7499999999999995e-8,-4.806529901984979
5.5000000000000004e-9,-2.699999999999999e-8,-4.8065299019990855
5.5000000000000004e-9,-2.6499999999999992e-8,-4.806529902000286
5.5000000000000004e-9,-2.5999999999999995e-8,-4.806529902000331
5.5000000000000004e-9,-2.549999999999999e-8,-4.806529902000018
5.5000000000000004e-9,-2.4999999999999992e-8,-4.806529901999864
5.5000000000000004e-9,-2.4499999999999994e-8,-4.8065299019998555
5.5000000000000004e-9,-2.399999999999999e-8,-4.8065299019997845
5.5000000000000004e-9,-2.3499999999999992e-8,-4.806529901999875
5.5000000000000004e-9,-2.2999999999999994e-8,-4.806529901999636
5.5000000000000004e-9,-2.2499999999999996e-8,-4.806529901999546
5.5000000000000004e-9,-2.1999999999999992e-8,-4.80652990199978
5.5000000000000004e-9,-2.1499999999999994e-8,-4.806529901999628
5.5000000000000004e-9,-2.0999999999999996e-8,-4.806529901999623
5.5000000000000004e-9,-2.0499999999999992e-8,-4.806529902000022
5.5000000000000004e-9,-1.9999999999999994e-8,-4.806529901999991
5.5000000000000004e-9,-1.9499999999999996e-8,-4.8065299019999
5.5000000000000004e-9,-1.899999999999999e-8,-4.8065299020002525
5.5000000000000004e-9,-1.8499999999999994e-8,-4.806529902000145
5.5000000000000004e-9,-1.7999999999999996e-8,-4.806529901999861
5.5000000000000004e-9,-1.749999999999999e-8,-4.806529902000095
5.5000000000000004e-9,-1.6999999999999993e-8,-4.806529901999951
5.5000000000000004e-9,-1.6499999999999996e-8,-4.806529902000048
5.5000000000000004e-9,-1.5999999999999984e-8,-4.806529902000106
5.5000000000000004e-9,-1.55e-8,-4.8065299019998315
5.5000000000000004e-9,-1.499999999999999e-8,-4.806529901999929
5.5000000000000004e-9,-1.4499999999999991e-8,-4.806529902000109
5.5000000000000004e-9,-1.3999999999999993e-8,-4.806529902000107
5.5000000000000004e-9,-1.3499999999999995e-8,-4.806529901999987
5.5000000000000004e-9,-1.2999999999999997e-8,-4.80652990199989
5.5000000000000004e-9,-1.2499999999999986e-8,-4.806529901999888
5.5000000000000004e-9,-1.1999999999999988e-8,-4.806529901999989
5.5000000000000004e-9,-1.149999999999999e-8,-4.806529902000047
5.5000000000000004e-9,-1.099999999999998e-8,-4.806529901999909
5.5000000000000004e-9,-1.0499999999999982e-8,-4.806529901999969
5.5000000000000004e-9,-9.999999999999984e-9,-4.806529901999989
5.5000000000000004e-9,-9.499999999999986e-9,-4.806529901999911
5.5000000000000004e-9,-8.999999999999988e-9,-4.806529902000028
5.5000000000000004e-9,-8.49999999999999e-9,-4.80652990199993
5.5000000000000004e-9,-7.999999999999992e-9,-4.80652990199979
5.5000000000000004e-9,-7.499999999999981e-9,-4.806529901999967
5.5000000000000004e-9,-6.999999999999983e-9,-4.806529902000087
5.5000000000000004e-9,-6.499999999999985e-9,-4.806529902000029
5.5000000000000004e-9,-5.9999999999999876e-9,-4.80652990199993
5.5000000000000004e-9,-5.49999999999999e-9,-4.80652990199991
5.5000000000000004e-9,-4.999999999999979e-9,-4.806529901999968
5.5000000000000004e-9,-4.499999999999981e-9,-4.806529902000008
5.5000000000000004e-9,-3.999999999999983e-9,-4.80652990200003
5.5000000000000004e-9,-3.499999999999985e-9,-4.806529902000009
5.5000000000000004e-9,-2.999999999999987e-9,-4.80652990199998
5.5000000000000004e-9,-2.4999999999999893e-9,-4.8065299019999745
5.5000000000000004e-9,-1.9999999999999914e-9,-4.806529902000008
5.5000000000000004e-9,-1.4999999999999803e-9,-4.806529902000011
