#HEADER
Time (s),0
#DATA
Ryz (m),X (m),Defect Charge Density (C \cdot cm^{-3})
5e-9,-7.75e-8,-1.280297728564897
5e-9,-7.527777777777778e-8,-1.2751163091940132
5e-9,-7.305555555555556e-8,-1.2593051758177942
5e-9,-7.083333333333333e-8,-1.2322166460656274
5e-9,-6.86111111111111e-8,-1.1933793912811925
5e-9,-6.638888888888889e-8,-1.1433973564400741
5e-9,-6.416666666666667e-8,-1.0842118072107634
5e-9,-6.194444444444445e-8,-1.0176513769174562
5e-9,-5.972222222222223e-8,-0.94448738453601
5e-9,-5.75e-8,-0.8689150562026116
5e-9,-5.472222222222222e-8,-0.8027405174839908
5e-9,-5.194444444444444e-8,-0.7594018369350424
5e-9,-4.9166666666666664e-8,-0.7473061013432696
5e-9,-4.6388888888888885e-8,-0.771869479834784
5e-9,-4.361111111111111e-8,-0.8449800056350867
5e-9,-4.0833333333333335e-8,-0.9864787909306256
5e-9,-3.805555555555555e-8,-1.2201178457272228
5e-9,-3.527777777777778e-8,-1.5371504387625863
5e-9,-3.249999999999999e-8,-1.8505328232295204
5e-9,-3.1999999999999995e-8,-2.0677671789364718
5e-9,-3.149999999999999e-8,-2.192513896353547
5e-9,-3.099999999999999e-8,-2.275819738682456
5e-9,-3.0499999999999995e-8,-2.337965629533818
5e-9,-2.999999999999999e-8,-2.3768311068814794
5e-9,-2.9499999999999993e-8,-2.394623600458781
5e-9,-2.8999999999999995e-8,-2.4008524137911684
5e-9,-2.849999999999999e-8,-2.402684210832385
5e-9,-2.7999999999999993e-8,-2.40314118705745
5e-9,-2.7499999999999995e-8,-2.403239948950242
5e-9,-2.699999999999999e-8,-2.403259912466165
5e-9,-2.6499999999999992e-8,-2.4032639300980403
5e-9,-2.5999999999999995e-8,-2.4032647445997184
5e-9,-2.549999999999999e-8,-2.403264909533384
5e-9,-2.4999999999999992e-8,-2.403264942763184
5e-9,-2.4499999999999994e-8,-2.4032649494005325
5e-9,-2.399999999999999e-8,-2.403264950702388
5e-9,-2.3499999999999992e-8,-2.403264950947942
5e-9,-2.2999999999999994e-8,-2.4032649509912716
5e-9,-2.2499999999999996e-8,-2.403264950998426
5e-9,-2.1999999999999992e-8,-2.4032649509998
5e-9,-2.1499999999999994e-8,-2.4032649509997377
5e-9,-2.0999999999999996e-8,-2.4032649509997586
5e-9,-2.0499999999999992e-8,-2.403264951000044
5e-9,-1.9999999999999994e-8,-2.4032649509999695
5e-9,-1.9499999999999996e-8,-2.403264950999804
5e-9,-1.899999999999999e-8,-2.4032649510000024
5e-9,-1.8499999999999994e-8,-2.4032649510001276
5e-9,-1.7999999999999996e-8,-2.4032649510000432
5e-9,-1.749999999999999e-8,-2.4032649510000414
5e-9,-1.6999999999999993e-8,-2.4032649510000095
5e-9,-1.6499999999999996e-8,-2.403264951000039
5e-9,-1.5999999999999984e-8,-2.403264951000045
5e-9,-1.55e-8,-2.403264950999888
5e-9,-1.499999999999999e-8,-2.4032649509998802
5e-9,-1.4499999999999991e-8,-2.4032649510000494
5e-9,-1.3999999999999993e-8,-2.4032649510000477
5e-9,-1.3499999999999995e-8,-2.4032649509999287
5e-9,-1.2999999999999997e-8,-2.4032649509999198
5e-9,-1.2499999999999986e-8,-2.403264950999997
5e-9,-1.1999999999999988e-8,-2.4032649510000477
5e-9,-1.149999999999999e-8,-2.403264950999997
5e-9,-1.099999999999998e-8,-2.403264950999859
5e-9,-1.0499999999999982e-8,-2.4032649509999295
5e-9,-9.999999999999984e-9,-2.403264951000047
5e-9,-9.499999999999986e-9,-2.4032649509999686
5e-9,-8.999999999999988e-9,-2.4032649509999886
5e-9,-8.49999999999999e-9,-2.403264950999948
5e-9,-7.999999999999992e-9,-2.4032649509998794
5e-9,-7.499999999999981e-9,-2.403264950999997
5e-9,-6.999999999999983e-9,-2.403264951000086
5e-9,-6.499999999999985e-9,-2.4032649510000863
5e-9,-5.9999999999999876e-9,-2.4032649509999873
5e-9,-5.49999999999999e-9,-2.403264950999958
5e-9,-4.999999999999979e-9,-2.4032649509999873
5e-9,-4.499999999999981e-9,-2.4032649510000073
5e-9,-3.999999999999983e-9,-2.4032649510000277
5e-9,-3.499999999999985e-9,-2.403264950999988
5e-9,-2.999999999999987e-9,-2.403264950999988
5e-9,-2.4999999999999893e-9,-2.4032649510000024
5e-9,-1.9999999999999914e-9,-2.4032649509999926
5e-9,-1.4999999999999803e-9,-2.403264951000003
5e-9,-9.999999999999825e-10,-2.4032649509999953
5e-9,-4.999999999999846e-10,-2.403264950999991
5e-9,1.3234889800848443e-23,-2.403264950999991
5e-9,5.000000000000111e-10,-2.403264950999996
5e-9,1.000000000000009e-9,-2.4032649510000006
5e-9,1.50000000000002e-9,-2.403264950999995
5e-9,2.000000000000018e-9,-2.403264950999983
5e-9,2.5000000000000158e-9,-2.4032649509999735
5e-9,3.0000000000000136e-9,-2.403264950999998
5e-9,3.5000000000000115e-9,-2.4032649509999873
5e-9,4.000000000000009e-9,-2.4032649509999873
5e-9,4.5000000000000204e-9,-2.403264951000008
5e-9,5.000000000000018e-9,-2.403264951000008
5e-9,5.500000000000016e-9,-2.403264951000028
5e-9,6.000000000000014e-9,-2.4032649509999797
5e-9,6.500000000000012e-9,-2.4032649509999398
5e-9,7.000000000000023e-9,-2.4032649509999686
5e-9,7.500000000000008e-9,-2.403264950999948
5e-9,8.000000000000019e-9,-2.403264950999977
5e-9,8.500000000000017e-9,-2.4032649510000867
5e-9,9.000000000000014e-9,-2.4032649510000867
5e-9,9.500000000000012e-9,-2.4032649509999864
5e-9,1.000000000000001e-8,-2.403264950999997
5e-9,1.0500000000000021e-8,-2.4032649509999584
5e-9,1.1000000000000019e-8,-2.40326495099991
5e-9,1.1500000000000017e-8,-2.4032649510000272
5e-9,1.2000000000000015e-8,-2.4032649509999686
5e-9,1.2500000000000013e-8,-2.4032649509999304
5e-9,1.300000000000001e-8,-2.4032649509999304
5e-9,1.3500000000000008e-8,-2.4032649509999966
5e-9,1.400000000000002e-8,-2.403264951000115
5e-9,1.4500000000000017e-8,-2.4032649510001276
5e-9,1.5000000000000015e-8,-2.403264951000007
5e-9,1.5500000000000013e-8,-2.4032649509999686
5e-9,1.600000000000001e-8,-2.4032649510000477
5e-9,1.650000000000001e-8,-2.403264951000046
5e-9,1.7000000000000007e-8,-2.4032649509999975
5e-9,1.7500000000000018e-8,-2.4032649509997617
5e-9,1.8000000000000016e-8,-2.4032649509998087
5e-9,1.8500000000000013e-8,-2.403264951000046
