#HEADER
Time (s),0
#DATA
Ryz (m),X (m),Defect Charge Density (C \cdot cm^{-3})
4e-9,-9.750000000000002e-8,-1.9323252010814758
4e-9,-9.416666666666668e-8,-1.927560674785672
4e-9,-9.083333333333335e-8,-1.9112238294093582
4e-9,-8.750000000000002e-8,-1.8777411464751046
4e-9,-8.416666666666669e-8,-1.8216920832672407
4e-9,-8.083333333333335e-8,-1.7414199106048291
4e-9,-7.750000000000001e-8,-1.6370299941038522
4e-9,-7.416666666666669e-8,-1.505375385552455
4e-9,-7.083333333333335e-8,-1.3570337207315661
4e-9,-6.750000000000002e-8,-1.2140643763257493
4e-9,-6.472222222222224e-8,-1.0993572298572147
4e-9,-6.194444444444446e-8,-1.0263970855215847
4e-9,-5.916666666666668e-8,-0.9930636919683977
4e-9,-5.63888888888889e-8,-0.9999028790929975
4e-9,-5.3611111111111124e-8,-1.0520744196391505
4e-9,-5.0833333333333345e-8,-1.1633565741786378
4e-9,-4.8055555555555573e-8,-1.3476420204196609
4e-9,-4.527777777777779e-8,-1.5887426051985054
4e-9,-4.2500000000000017e-8,-1.8183278987549543
4e-9,-4.200000000000002e-8,-1.9778070900818918
4e-9,-4.1500000000000014e-8,-2.088131119976224
4e-9,-4.1000000000000016e-8,-2.180406366117212
4e-9,-4.050000000000002e-8,-2.2526512416579143
4e-9,-4.0000000000000014e-8,-2.3062984272811518
4e-9,-3.9500000000000016e-8,-2.3453215524478908
4e-9,-3.900000000000002e-8,-2.3714577518806426
4e-9,-3.8500000000000014e-8,-2.387477143186075
4e-9,-3.8000000000000016e-8,-2.3962329232947845
4e-9,-3.750000000000001e-8,-2.400507148464307
4e-9,-3.7000000000000014e-8,-2.4023899523102266
4e-9,-3.6500000000000016e-8,-2.4030532741176867
4e-9,-3.600000000000002e-8,-2.4032198916106955
4e-9,-3.550000000000002e-8,-2.4032542745337357
4e-9,-3.500000000000001e-8,-2.403262029899124
4e-9,-3.450000000000001e-8,-2.403264130557309
4e-9,-3.400000000000001e-8,-2.4032647367746502
4e-9,-3.3500000000000015e-8,-2.4032648986775573
4e-9,-3.300000000000002e-8,-2.4032649385140177
4e-9,-3.250000000000002e-8,-2.4032649482518655
4e-9,-3.200000000000002e-8,-2.4032649504929458
4e-9,-3.150000000000001e-8,-2.403264950919363
4e-9,-3.100000000000001e-8,-2.4032649509872908
4e-9,-3.0500000000000015e-8,-2.4032649509978397
4e-9,-3.000000000000002e-8,-2.40326495099946
4e-9,-2.950000000000002e-8,-2.4032649509995734
4e-9,-2.900000000000002e-8,-2.4032649509997634
4e-9,-2.850000000000001e-8,-2.403264950999769
4e-9,-2.8000000000000012e-8,-2.403264950999856
4e-9,-2.7500000000000015e-8,-2.4032649510000144
4e-9,-2.7000000000000017e-8,-2.403264950999975
4e-9,-2.650000000000002e-8,-2.403264951000016
4e-9,-2.600000000000002e-8,-2.4032649510000867
4e-9,-2.550000000000001e-8,-2.403264951000046
4e-9,-2.5000000000000012e-8,-2.403264950999894
4e-9,-2.4500000000000014e-8,-2.403264950999935
4e-9,-2.4000000000000016e-8,-2.403264951000015
4e-9,-2.350000000000002e-8,-2.403264950999964
4e-9,-2.3000000000000007e-8,-2.403264950999974
4e-9,-2.2500000000000023e-8,-2.403264950999974
4e-9,-2.2000000000000012e-8,-2.403264951000005
4e-9,-2.1500000000000014e-8,-2.403264951000134
4e-9,-2.1000000000000016e-8,-2.403264951000173
4e-9,-2.0500000000000018e-8,-2.4032649510000557
4e-9,-2.000000000000002e-8,-2.403264951000124
4e-9,-1.950000000000001e-8,-2.403264951000004
4e-9,-1.900000000000001e-8,-2.4032649509999358
4e-9,-1.8500000000000013e-8,-2.4032649510001742
4e-9,-1.8000000000000016e-8,-2.403264951000134
4e-9,-1.7500000000000018e-8,-2.4032649509999358
4e-9,-1.700000000000002e-8,-2.4032649509999757
4e-9,-1.6500000000000022e-8,-2.403264951000044
4e-9,-1.600000000000001e-8,-2.403264951000005
4e-9,-1.5500000000000013e-8,-2.403264951000015
4e-9,-1.5000000000000015e-8,-2.403264951000054
4e-9,-1.4500000000000017e-8,-2.4032649510000557
4e-9,-1.400000000000002e-8,-2.4032649510000055
4e-9,-1.3500000000000008e-8,-2.4032649510000037
4e-9,-1.300000000000001e-8,-2.4032649510000357
4e-9,-1.2500000000000013e-8,-2.4032649510000557
4e-9,-1.2000000000000015e-8,-2.403264951000055
4e-9,-1.1500000000000017e-8,-2.403264950999965
4e-9,-1.1000000000000006e-8,-2.403264951000005
4e-9,-1.0500000000000008e-8,-2.4032649510000947
4e-9,-1.000000000000001e-8,-2.403264950999996
4e-9,-9.500000000000012e-9,-2.403264950999996
4e-9,-9.000000000000014e-9,-2.403264950999996
4e-9,-8.500000000000017e-9,-2.4032649509999757
4e-9,-8.000000000000019e-9,-2.403264951000005
4e-9,-7.500000000000008e-9,-2.4032649510000255
4e-9,-7.00000000000001e-9,-2.403264951000044
4e-9,-6.500000000000012e-9,-2.4032649510000144
4e-9,-6.000000000000014e-9,-2.403264950999966
4e-9,-5.500000000000016e-9,-2.403264950999956
4e-9,-5.000000000000005e-9,-2.4032649509999855
4e-9,-4.500000000000007e-9,-2.4032649509999846
4e-9,-4.000000000000009e-9,-2.4032649509999846
4e-9,-3.5000000000000115e-9,-2.40326495099998
