#HEADER
Time (s),0
#DATA
Ryz (m),X (m),Defect Charge Density (C \cdot cm^{-3})
4e-9,-9.750000000000002e-8,-1.682274669979685
4e-9,-9.416666666666668e-8,-1.6763327021191328
4e-9,-9.083333333333335e-8,-1.6577023399779631
4e-9,-8.750000000000002e-8,-1.6239801990137674
4e-9,-8.416666666666669e-8,-1.5715086740709776
4e-9,-8.083333333333335e-8,-1.4965398153153506
4e-9,-7.750000000000001e-8,-1.3991917937882845
4e-9,-7.416666666666669e-8,-1.279984539389804
4e-9,-7.083333333333335e-8,-1.1447969711968786
4e-9,-6.750000000000002e-8,-1.0155832912087028
4e-9,-6.472222222222224e-8,-0.911946895214258
4e-9,-6.194444444444446e-8,-0.8427145830526758
4e-9,-5.916666666666668e-8,-0.8109478672841768
4e-9,-5.63888888888889e-8,-0.8164174250748762
4e-9,-5.3611111111111124e-8,-0.8643836099028835
4e-9,-5.0833333333333345e-8,-0.9652381539373
4e-9,-4.8055555555555573e-8,-1.13359084133499
4e-9,-4.527777777777779e-8,-1.3613845531434114
4e-9,-4.2500000000000017e-8,-1.5855936777659088
4e-9,-4.200000000000002e-8,-1.7448649662640863
4e-9,-4.1500000000000014e-8,-1.8503776651079427
4e-9,-4.1000000000000016e-8,-1.940099099098651
4e-9,-4.050000000000002e-8,-2.0269673560650157
4e-9,-4.0000000000000014e-8,-2.1108899546120266
4e-9,-3.9500000000000016e-8,-2.1860985972491314
4e-9,-3.900000000000002e-8,-2.248792527949597
4e-9,-3.8500000000000014e-8,-2.301357130071243
4e-9,-3.8000000000000016e-8,-2.3440458879649375
4e-9,-3.750000000000001e-8,-2.3740781083166667
4e-9,-3.7000000000000014e-8,-2.3913166940815476
4e-9,-3.6500000000000016e-8,-2.3991509193129197
4e-9,-3.600000000000002e-8,-2.40196195728039
4e-9,-3.550000000000002e-8,-2.4028423058892936
4e-9,-3.500000000000001e-8,-2.40312170384919
4e-9,-3.450000000000001e-8,-2.40321631717946
4e-9,-3.400000000000001e-8,-2.403248840537281
4e-9,-3.3500000000000015e-8,-2.403259651548999
4e-9,-3.300000000000002e-8,-2.4032632489741093
4e-9,-3.250000000000002e-8,-2.403264469374714
4e-9,-3.200000000000002e-8,-2.403264839261235
4e-9,-3.150000000000001e-8,-2.4032649280681095
4e-9,-3.100000000000001e-8,-2.403264946230658
4e-9,-3.0500000000000015e-8,-2.403264949962935
4e-9,-3.000000000000002e-8,-2.403264950774424
4e-9,-2.950000000000002e-8,-2.403264950952649
4e-9,-2.900000000000002e-8,-2.4032649509905424
4e-9,-2.850000000000001e-8,-2.4032649509980373
4e-9,-2.8000000000000012e-8,-2.403264950999546
4e-9,-2.7500000000000015e-8,-2.403264950999964
4e-9,-2.7000000000000017e-8,-2.4032649509999677
4e-9,-2.650000000000002e-8,-2.4032649510000152
4e-9,-2.600000000000002e-8,-2.4032649510000867
4e-9,-2.550000000000001e-8,-2.403264951000046
4e-9,-2.5000000000000012e-8,-2.403264950999894
4e-9,-2.4500000000000014e-8,-2.403264950999935
4e-9,-2.4000000000000016e-8,-2.403264951000015
4e-9,-2.350000000000002e-8,-2.403264950999964
4e-9,-2.3000000000000007e-8,-2.403264950999974
4e-9,-2.2500000000000023e-8,-2.403264950999974
4e-9,-2.2000000000000012e-8,-2.403264951000005
4e-9,-2.1500000000000014e-8,-2.403264951000134
4e-9,-2.1000000000000016e-8,-2.403264951000173
4e-9,-2.0500000000000018e-8,-2.4032649510000557
4e-9,-2.000000000000002e-8,-2.403264951000124
4e-9,-1.950000000000001e-8,-2.403264951000004
4e-9,-1.900000000000001e-8,-2.4032649509999358
4e-9,-1.8500000000000013e-8,-2.4032649510001742
4e-9,-1.8000000000000016e-8,-2.403264951000134
4e-9,-1.7500000000000018e-8,-2.4032649509999358
4e-9,-1.700000000000002e-8,-2.4032649509999757
4e-9,-1.6500000000000022e-8,-2.403264951000044
4e-9,-1.600000000000001e-8,-2.403264951000005
4e-9,-1.5500000000000013e-8,-2.403264951000015
4e-9,-1.5000000000000015e-8,-2.403264951000054
4e-9,-1.4500000000000017e-8,-2.4032649510000557
4e-9,-1.400000000000002e-8,-2.4032649510000055
4e-9,-1.3500000000000008e-8,-2.4032649510000037
4e-9,-1.300000000000001e-8,-2.4032649510000357
4e-9,-1.2500000000000013e-8,-2.4032649510000557
4e-9,-1.2000000000000015e-8,-2.403264951000055
4e-9,-1.1500000000000017e-8,-2.403264950999965
4e-9,-1.1000000000000006e-8,-2.403264951000005
4e-9,-1.0500000000000008e-8,-2.4032649510000947
4e-9,-1.000000000000001e-8,-2.403264950999996
4e-9,-9.500000000000012e-9,-2.403264950999996
4e-9,-9.000000000000014e-9,-2.403264950999996
4e-9,-8.500000000000017e-9,-2.4032649509999757
4e-9,-8.000000000000019e-9,-2.403264951000005
4e-9,-7.500000000000008e-9,-2.4032649510000255
4e-9,-7.00000000000001e-9,-2.403264951000044
4e-9,-6.500000000000012e-9,-2.4032649510000144
4e-9,-6.000000000000014e-9,-2.403264950999966
4e-9,-5.500000000000016e-9,-2.403264950999956
4e-9,-5.000000000000005e-9,-2.4032649509999855
4e-9,-4.500000000000007e-9,-2.4032649509999846
4e-9,-4.000000000000009e-9,-2.4032649509999846
4e-9,-3.5000000000000115e-9,-2.40326495099998
4e-9,-3.0000000000000136e-9,-2.4032649510000006
4e-9,-2.5000000000000158e-9,-2.4032649510000006
4e-9,-2.000000000000018e-9,-2.403264950999975
4e-9,-1.5000000000000068e-9,-2.4032649509999935
4e-9,-1.000000000000009e-9,-2.4032649510000024
4e-9,-5.000000000000111e-10,-2.4032649510000015
4e-9,-1.3234889800848443e-23,-2.403264950999999
4e-9,4.999999999999846e-10,-2.4032649509999997
4e-9,9.999999999999825e-10,-2.4032649510000024
4e-9,1.4999999999999936e-9,-2.4032649510000095
4e-9,1.9999999999999914e-9,-2.4032649510000157
4e-9,2.4999999999999893e-9,-2.403264951000005
4e-9,2.999999999999987e-9,-2.4032649510000006
4e-9,3.499999999999985e-9,-2.4032649510000006
4e-9,3.999999999999983e-9,-2.403264950999966
4e-9,4.499999999999994e-9,-2.4032649509999855
4e-9,4.999999999999992e-9,-2.403264951000045
4e-9,5.49999999999999e-9,-2.403264951000045
4e-9,5.9999999999999876e-9,-2.4032649510000343
4e-9,6.499999999999985e-9,-2.4032649510000725
4e-9,6.9999999999999965e-9,-2.4032649510000557
4e-9,7.499999999999981e-9,-2.403264950999996
4e-9,7.999999999999992e-9,-2.403264951000005
4e-9,8.49999999999999e-9,-2.4032649509999366
4e-9,8.999999999999988e-9,-2.4032649509999366
4e-9,9.499999999999986e-9,-2.403264950999916
4e-9,9.999999999999984e-9,-2.4032649509998842
4e-9,1.0499999999999995e-8,-2.403264950999964
4e-9,1.0999999999999993e-8,-2.4032649509999366
4e-9,1.149999999999999e-8,-2.4032649509999766
4e-9,1.1999999999999988e-8,-2.403264951000077
4e-9,1.2499999999999986e-8,-2.4032649510000343
4e-9,1.2999999999999984e-8,-2.403264951000013
4e-9,1.3499999999999982e-8,-2.4032649510000224
4e-9,1.3999999999999993e-8,-2.403264951000044
4e-9,1.4499999999999991e-8,-2.403264951000054
4e-9,1.499999999999999e-8,-2.4032649510000157
4e-9,1.5499999999999987e-8,-2.4032649509999375
4e-9,1.5999999999999984e-8,-2.4032649509999757
4e-9,1.6499999999999982e-8,-2.403264951000015
4e-9,1.699999999999998e-8,-2.403264950999964
4e-9,1.749999999999999e-8,-2.403264951000044
4e-9,1.799999999999999e-8,-2.4032649510000947
4e-9,1.8499999999999987e-8,-2.403264951000133
4e-9,1.8999999999999985e-8,-2.403264951000015
4e-9,1.9499999999999983e-8,-2.4032649509999255
4e-9,1.9999999999999994e-8,-2.4032649509999255
4e-9,2.0499999999999992e-8,-2.403264950999896
4e-9,2.099999999999999e-8,-2.4032649509998976
4e-9,2.1499999999999987e-8,-2.4032649509999797
4e-9,2.1999999999999985e-8,-2.403264951000165
4e-9,2.2499999999999996e-8,-2.403264951000134
4e-9,2.299999999999998e-8,-2.4032649510000175
4e-9,2.3499999999999992e-8,-2.4032649510000557
4e-9,2.3999999999999977e-8,-2.403264951000172
4e-9,2.4499999999999988e-8,-2.4032649510000006
4e-9,2.5e-8,-2.40326495099994
4e-9,2.5499999999999983e-8,-2.4032649510001303
4e-9,2.5999999999999995e-8,-2.4032649510001756
4e-9,2.649999999999998e-8,-2.403264951000052
4e-9,2.699999999999999e-8,-2.4032649509997226
4e-9,2.75e-8,-2.403264950999831
4e-9,2.7999999999999986e-8,-2.4032649509988495
4e-9,2.8499999999999997e-8,-2.4032649509919715
4e-9,2.8999999999999982e-8,-2.4032649509613595
4e-9,2.9499999999999993e-8,-2.4032649508312875
4e-9,2.999999999999998e-8,-2.4032649502890227
4e-9,3.049999999999999e-8,-2.4032649478770605
4e-9,3.1e-8,-2.4032649359201503
4e-9,3.1499999999999984e-8,-2.403264873892132
4e-9,3.1999999999999995e-8,-2.4032645967672224
4e-9,3.249999999999998e-8,-2.4032636215647596
4e-9,3.299999999999999e-8,-2.4032604586856836
4e-9,3.3499999999999976e-8,-2.4032487026544302
4e-9,3.399999999999999e-8,-2.4031992410622625
4e-9,3.45e-8,-2.403010622030603
4e-9,3.499999999999998e-8,-2.402471078484079
4e-9,3.5499999999999994e-8,-2.401283520284909
4e-9,3.599999999999998e-8,-2.398819889541028
4e-9,3.649999999999999e-8,-2.3934000989384185
4e-9,3.6999999999999974e-8,-2.3814015422457
4e-9,3.7499999999999985e-8,-2.3570233020866613
4e-9,3.7999999999999996e-8,-2.316185582343701
4e-9,3.849999999999998e-8,-2.2619088339146765
4e-9,3.899999999999999e-8,-2.1995212304858978
4e-9,3.9499999999999977e-8,-2.1304266341721916
4e-9,3.999999999999999e-8,-2.0557142884685584
4e-9,4.05e-8,-1.979522171987349
4e-9,4.0999999999999983e-8,-1.9049861902465417
4e-9,4.1499999999999994e-8,-1.8315503078879014
4e-9,4.199999999999998e-8,-1.739552926616211
4e-9,4.249999999999999e-8,-1.5814977450579903
4e-9,4.527777777777776e-8,-1.3520343128957593
4e-9,4.8055555555555534e-8,-1.1233161923267032
4e-9,5.083333333333333e-8,-0.9571905909383084
4e-9,5.3611111111111104e-8,-0.8578300378323894
4e-9,5.6388888888888875e-8,-0.8095264895320595
4e-9,5.916666666666665e-8,-0.8020753900155098
4e-9,6.194444444444445e-8,-0.8330229942796685
4e-9,6.472222222222222e-8,-0.9029113436209034
4e-9,6.749999999999999e-8,-1.0060346140548926
4e-9,7.083333333333333e-8,-1.1307448137763292
4e-9,7.416666666666666e-8,-1.2576569504298825
4e-9,7.75e-8,-1.3669638111140567
4e-9,8.083333333333334e-8,-1.4588472074012553
4e-9,8.416666666666667e-8,-1.5400174158464852
4e-9,8.749999999999998e-8,-1.604592635121199
4e-9,9.083333333333332e-8,-1.6468292087056806
4e-9,9.416666666666666e-8,-1.669702855821932
4e-9,9.749999999999999e-8,-1.677058981361535
4.500000000000001e-9,-9.750000000000002e-8,-3.3490583119911252
4.500000000000001e-9,-9.416666666666668e-8,-3.3365685372417366
4.500000000000001e-9,-9.083333333333335e-8,-3.2974633888377665
4.500000000000001e-9,-8.750000000000002e-8,-3.2266416010114285
4.500000000000001e-9,-8.416666666666669e-8,-3.116258208608696
4.500000000000001e-9,-8.083333333333335e-8,-2.9594601239562266
4.500000000000001e-9,-7.750000000000001e-8,-2.7568359038361026
4.500000000000001e-9,-7.416666666666669e-8,-2.5065401540956707
4.500000000000001e-9,-7.083333333333335e-8,-2.223701832837036
4.500000000000001e-9,-6.750000000000002e-8,-1.9523624130172472
4.500000000000001e-9,-6.472222222222224e-8,-1.7341677975665784
4.500000000000001e-9,-6.194444444444446e-8,-1.5914653580120377
4.500000000000001e-9,-5.916666666666668e-8,-1.5260792954921905
4.500000000000001e-9,-5.63888888888889e-8,-1.5371131638733098
4.500000000000001e-9,-5.3611111111111124e-8,-1.6348859506510458
4.500000000000001e-9,-5.0833333333333345e-8,-1.8441728358294203
4.500000000000001e-9,-4.8055555555555573e-8,-2.1955835422451573
4.500000000000001e-9,-4.527777777777779e-8,-2.673928664449498
4.500000000000001e-9,-4.2500000000000017e-8,-3.1502255687162295
4.500000000000001e-9,-4.200000000000002e-8,-3.4879915434601405
4.500000000000001e-9,-4.1500000000000014e-8,-3.7067871822688074
4.500000000000001e-9,-4.1000000000000016e-8,-3.89089537673136
4.500000000000001e-9,-4.050000000000002e-8,-4.071122017252936
4.500000000000001e-9,-4.0000000000000014e-8,-4.245372442523771
4.500000000000001e-9,-3.9500000000000016e-8,-4.399316770588124
4.500000000000001e-9,-3.900000000000002e-8,-4.526186257740439
4.500000000000001e-9,-3.8500000000000014e-8,-4.630576663352075
4.500000000000001e-9,-3.8000000000000016e-8,-4.7105552940663635
4.500000000000001e-9,-3.750000000000001e-8,-4.762062042034535
4.500000000000001e-9,-3.7000000000000014e-8,-4.789196622033461
4.500000000000001e-9,-3.6500000000000016e-8,-4.8007646850152
4.500000000000001e-9,-3.600000000000002e-8,-4.804751338260432
4.500000000000001e-9,-3.550000000000002e-8,-4.805967196465268
4.500000000000001e-9,-3.500000000000001e-8,-4.806343922636371
4.500000000000001e-9,-3.450000000000001e-8,-4.806468380218961
4.500000000000001e-9,-3.400000000000001e-8,-4.806510101752112
4.500000000000001e-9,-3.3500000000000015e-8,-4.806523593436657
4.500000000000001e-9,-3.300000000000002e-8,-4.806527933392922
4.500000000000001e-9,-3.250000000000002e-8,-4.806529355177124
4.500000000000001e-9,-3.200000000000002e-8,-4.806529776175831
4.500000000000001e-9,-3.150000000000001e-8,-4.806529876293894
4.500000000000001e-9,-3.100000000000001e-8,-4.806529896689501
4.500000000000001e-9,-3.0500000000000015e-8,-4.806529900855555
4.500000000000001e-9,-3.000000000000002e-8,-4.806529901753519
4.500000000000001e-9,-2.950000000000002e-8,-4.806529901948834
4.500000000000001e-9,-2.900000000000002e-8,-4.806529901989661
4.500000000000001e-9,-2.850000000000001e-8,-4.8065299019977
4.500000000000001e-9,-2.8000000000000012e-8,-4.806529901999545
4.500000000000001e-9,-2.7500000000000015e-8,-4.80652990199982
4.500000000000001e-9,-2.7000000000000017e-8,-4.806529901999899
4.500000000000001e-9,-2.650000000000002e-8,-4.806529902000104
4.500000000000001e-9,-2.600000000000002e-8,-4.806529902000249
4.500000000000001e-9,-2.550000000000001e-8,-4.8065299020004435
4.500000000000001e-9,-2.5000000000000012e-8,-4.8065299019999435
4.500000000000001e-9,-2.4500000000000014e-8,-4.806529901999747
4.500000000000001e-9,-2.4000000000000016e-8,-4.806529901999831
4.500000000000001e-9,-2.350000000000002e-8,-4.806529901999812
4.500000000000001e-9,-2.3000000000000007e-8,-4.806529902000068
4.500000000000001e-9,-2.2500000000000023e-8,-4.806529901999987
4.500000000000001e-9,-2.2000000000000012e-8,-4.806529901999966
4.500000000000001e-9,-2.1500000000000014e-8,-4.806529902000183
4.500000000000001e-9,-2.1000000000000016e-8,-4.806529902000223
4.500000000000001e-9,-2.0500000000000018e-8,-4.806529902000107
4.500000000000001e-9,-2.000000000000002e-8,-4.806529902000126
4.500000000000001e-9,-1.950000000000001e-8,-4.806529902000045
4.500000000000001e-9,-1.900000000000001e-8,-4.806529902000025
4.500000000000001e-9,-1.8500000000000013e-8,-4.806529902000185
4.500000000000001e-9,-1.8000000000000016e-8,-4.806529902000183
4.500000000000001e-9,-1.7500000000000018e-8,-4.806529901999988
4.500000000000001e-9,-1.700000000000002e-8,-4.806529902000107
4.500000000000001e-9,-1.6500000000000022e-8,-4.806529902000163
4.500000000000001e-9,-1.600000000000001e-8,-4.8065299019998875
4.500000000000001e-9,-1.5500000000000013e-8,-4.806529901999828
4.500000000000001e-9,-1.5000000000000015e-8,-4.806529902000025
4.500000000000001e-9,-1.4500000000000017e-8,-4.806529902000107
4.500000000000001e-9,-1.400000000000002e-8,-4.8065299020000065
4.500000000000001e-9,-1.3500000000000008e-8,-4.806529901999925
4.500000000000001e-9,-1.300000000000001e-8,-4.806529901999967
4.500000000000001e-9,-1.2500000000000013e-8,-4.806529902000069
4.500000000000001e-9,-1.2000000000000015e-8,-4.806529902000087
4.500000000000001e-9,-1.1500000000000017e-8,-4.806529901999927
4.500000000000001e-9,-1.1000000000000006e-8,-4.806529901999966
4.500000000000001e-9,-1.0500000000000008e-8,-4.806529902000145
4.500000000000001e-9,-1.000000000000001e-8,-4.806529902000046
